method,init_id,initial_free_coordinate,iteration,distance_to_min_norm,residual,free_coordinate,z1,z2,z3,z4
plain-FBHF,0,-3.0,0,4.242640687119285,0.9000173609436654,-3.0,2.0,-1.0,2.0,-3.0
plain-FBHF,0,-3.0,1,4.023062421837374,0.8348667559528958,-3.0,1.405,-1.5775,1.65,-3.0
plain-FBHF,0,-3.0,2,3.851731895387491,0.7774401310755313,-3.0,0.6807625000000002,-1.8760062499999999,1.36125,-3.0
plain-FBHF,0,-3.0,3,3.716975401018004,0.7262359442830848,-3.0,-0.05923309374999974,-1.884462359375,1.1230312500000001,-3.0
plain-FBHF,0,-3.0,4,3.609847900046106,0.6801034402965466,-3.0,-0.7115388655468748,-1.6328841375390626,0.9265007812500001,-3.0
plain-FBHF,0,-3.0,5,3.5236081942601145,0.6381617287386473,-3.0,-1.1958848026560547,-1.1838172277491212,0.7643631445312501,-3.0
plain-FBHF,0,-3.0,6,3.4532367626326166,0.5997352709565836,-3.0,-1.4637249440428806,-0.6202399364202349,0.6305995942382814,-3.0
plain-FBHF,0,-3.0,7,3.395023690043235,0.5643035099349227,-3.0,-1.50150261614471,-0.031956813793747874,0.5202446652465822,-3.0
plain-FBHF,0,-3.0,8,3.346235205247891,0.5314621980205007,-3.0,-1.3287534304947948,0.4974838115466347,0.4292018488284303,-3.0
plain-FBHF,0,-3.0,9,3.3048545445995527,0.5008940956076278,-3.0,-0.9918618012178604,0.9016057453053501,0.354091525283455,-3.0
plain-FBHF,0,-3.0,10,3.2693864712925085,0.4723469942432193,-3.0,-0.5547967197118,1.138310671931696,0.29212550835885037,-3.0
plain-FBHF,0,-3.0,11,3.238712958667417,0.445617357544353,-3.0,-0.08842538637101088,1.1930464665191933,0.24100354439605157,-3.0
plain-FBHF,0,-3.0,12,3.2119882743535975,0.42053820935682074,-3.0,0.3399729867411556,1.077847159600446,0.19882792412674255,-3.0
plain-FBHF,0,-3.0,13,3.1885635194837185,0.39697019805360034,-3.0,0.6755728017255201,0.8268203371899869,0.1640330374045626,-3.0
plain-FBHF,0,-3.0,14,3.16793273210553,0.3747950165247337,-3.0,0.8822022515306394,0.48908436528028154,0.13532725585876415,-3.0
