data,blur,noise,mode,c,method,iteration,oracle,network_forward,backtracks,wall_time_s,mean_rel_primal_error
real,train,train,bv,0.5,plain-FBHF,1,4,0,0,0.0012664657682180404,0.07697449624538422
real,train,train,bv,0.5,plain-FBHF,2,8,0,0,0.002532931536436081,0.07295943796634674
real,train,train,bv,0.5,plain-FBHF,3,12,0,0,0.0037993973046541213,0.0695316419005394
real,train,train,bv,0.5,plain-FBHF,4,16,0,0,0.005065863072872162,0.06696202605962753
real,train,train,bv,0.5,plain-FBHF,5,20,0,0,0.006332328841090203,0.06500265747308731
real,train,train,bv,0.5,plain-FBHF,6,24,0,0,0.007598794609308243,0.06320820748806
real,train,train,bv,0.5,plain-FBHF,7,28,0,0,0.008865260377526283,0.06131640076637268
real,train,train,bv,0.5,plain-FBHF,8,32,0,0,0.010131726145744323,0.0593155175447464
real,train,train,bv,0.5,plain-FBHF,9,36,0,0,0.011398191913962364,0.05731414258480072
real,train,train,bv,0.5,plain-FBHF,10,40,0,0,0.012664657682180405,0.0554128959774971
real,train,train,bv,0.5,plain-FBHF,11,44,0,0,0.013931123450398444,0.05365556478500366
real,train,train,bv,0.5,plain-FBHF,12,48,0,0,0.015197589218616485,0.05204415321350098
real,train,train,bv,0.5,plain-FBHF,13,52,0,0,0.016464054986834526,0.050567805767059326
real,train,train,bv,0.5,plain-FBHF,14,56,0,0,0.017730520755052565,0.049213238060474396
real,train,train,bv,0.5,plain-FBHF,15,60,0,0,0.018996986523270608,0.047960396856069565
real,train,train,bv,0.5,plain-FBHF,16,64,0,0,0.020263452291488647,0.04678291827440262
real,train,train,bv,0.5,plain-FBHF,17,68,0,0,0.021529918059706686,0.045658010989427567
real,train,train,bv,0.5,plain-FBHF,18,72,0,0,0.02279638382792473,0.04457610100507736
real,train,train,bv,0.5,plain-FBHF,19,76,0,0,0.024062849596142768,0.04354060813784599
real,train,train,bv,0.5,plain-FBHF,20,80,0,0,0.02532931536436081,0.0425591766834259
real,train,train,bv,0.5,plain-FBHF,21,84,0,0,0.02659578113257885,0.041634462773799896
real,train,train,bv,0.5,plain-FBHF,22,88,0,0,0.02786224690079689,0.04076121374964714
real,train,train,bv,0.5,plain-FBHF,23,92,0,0,0.02912871266901493,0.039929695427417755
real,train,train,bv,0.5,plain-FBHF,24,96,0,0,0.03039517843723297,0.0391310416162014
real,train,train,bv,0.5,plain-FBHF,25,100,0,0,0.03166164420545101,0.03836008906364441
real,train,train,bv,0.5,plain-FBHF,26,104,0,0,0.03292810997366905,0.0376153364777565
real,train,train,bv,0.5,plain-FBHF,27,108,0,0,0.03419457574188709,0.03689722716808319
real,train,train,bv,0.5,plain-FBHF,28,112,0,0,0.03546104151010513,0.03620637580752373
real,train,train,bv,0.5,plain-FBHF,29,116,0,0,0.03672750727832317,0.03554264456033707
real,train,train,bv,0.5,plain-FBHF,30,120,0,0,0.037993973046541216,0.03490474820137024
real,train,train,bv,0.5,plain-FBHF,31,124,0,0,0.039260438814759255,0.0342903807759285
real,train,train,bv,0.5,plain-FBHF,32,128,0,0,0.040526904582977294,0.03369688242673874
real,train,train,bv,0.5,plain-FBHF,33,132,0,0,0.04179337035119533,0.03312210738658905
real,train,train,bv,0.5,plain-FBHF,34,136,0,0,0.04305983611941337,0.032565031200647354
real,train,train,bv,0.5,plain-FBHF,35,140,0,0,0.04432630188763142,0.032025713473558426
real,train,train,bv,0.5,plain-FBHF,36,144,0,0,0.04559276765584946,0.03150461986660957
real,train,train,bv,0.5,plain-FBHF,37,148,0,0,0.0468592334240675,0.031001901254057884
real,train,train,bv,0.5,plain-FBHF,38,152,0,0,0.048125699192285536,0.03051690012216568
real,train,train,bv,0.5,plain-FBHF,39,156,0,0,0.049392164960503575,0.03004821017384529
real,train,train,bv,0.5,plain-FBHF,40,160,0,0,0.05065863072872162,0.029594119638204575
real,train,train,bv,0.5,plain-FBHF,41,164,0,0,0.05192509649693966,0.029153158888220787
real,train,train,bv,0.5,plain-FBHF,42,168,0,0,0.0531915622651577,0.028724314644932747
real,train,train,bv,0.5,plain-FBHF,43,172,0,0,0.05445802803337574,0.02830704115331173
real,train,train,bv,0.5,plain-FBHF,44,176,0,0,0.05572449380159378,0.02790110744535923
