data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,train,train,bv,0.5,plain-FBHF,0,4000,0,0,0.00021337972430046648
real,train,train,bv,0.5,plain-FBHF,1,4000,0,0,0.0011175216641277075
real,train,train,bv,0.5,plain-FBHF,2,4000,0,0,0.00024779781233519316
real,train,train,bv,0.5,plain-FBHF,3,4000,0,0,0.0009867600165307522
real,train,train,bv,0.5,plain-FBHF,4,4000,0,0,0.00039496857789345086
real,train,train,bv,0.5,plain-FBHF,5,4000,0,0,0.0014575241366401315
real,train,train,bv,0.5,plain-FBHF,6,4000,0,0,0.00014332520368043333
real,train,train,bv,0.5,plain-FBHF,7,4000,0,0,0.00047044726670719683
real,train,train,bv,0.5,plain-FBHF,8,4000,0,0,0.00014262847253121436
real,train,train,bv,0.5,plain-FBHF,9,4000,0,0,0.00032472278689965606
real,train,train,bv,0.5,plain-FBHF,10,4000,0,0,0.0005501457490026951
real,train,train,bv,0.5,plain-FBHF,11,4000,0,0,0.002895267214626074
real,train,train,bv,0.5,plain-FBHF,12,4000,0,0,0.0004975622869096696
real,train,train,bv,0.5,plain-FBHF,13,4000,0,0,0.0016779876314103603
real,train,train,bv,0.5,plain-FBHF,14,4000,0,0,0.0013882949715480208
real,train,train,bv,0.5,plain-FBHF,15,4000,0,0,0.0006807864410802722
real,train,train,bv,0.5,plain-FBHF,16,4000,0,0,0.001713282777927816
real,train,train,bv,0.5,plain-FBHF,17,4000,0,0,0.0006952171679586172
real,train,train,bv,0.5,plain-FBHF,18,4000,0,0,0.0014642567839473486
real,train,train,bv,0.5,plain-FBHF,19,4000,0,0,0.00033203669590875506
real,train,train,bv,0.5,plain-FBHF,20,4000,0,0,0.0007498455815948546
real,train,train,bv,0.5,plain-FBHF,21,4000,0,0,0.0004133221518713981
real,train,train,bv,0.5,plain-FBHF,22,4000,0,0,0.001412581535987556
real,train,train,bv,0.5,plain-FBHF,23,4000,0,0,0.0008926899754442275
real,train,train,bv,0.5,plain-FBHF,24,4000,0,0,0.00017668338841758668
real,train,train,bv,0.5,plain-FBHF,25,4000,0,0,0.0005606012418866158
real,train,train,bv,0.5,plain-FBHF,26,4000,0,0,0.0002584307221695781
real,train,train,bv,0.5,plain-FBHF,27,4000,0,0,0.0007443329668603837
