data,blur,noise,mode,c,method,iteration,oracle,network_forward,backtracks,mean_rel_primal_error,panel
real,train,train,bv,0.5,plain-FBHF,1,4,0,0,0.07697449624538422,a
real,train,train,bv,0.5,plain-FBHF,2,8,0,0,0.07295943796634674,a
real,train,train,bv,0.5,plain-FBHF,3,12,0,0,0.0695316419005394,a
real,train,train,bv,0.5,plain-FBHF,4,16,0,0,0.06696202605962753,a
real,train,train,bv,0.5,plain-FBHF,5,20,0,0,0.06500265747308731,a
real,train,train,bv,0.5,plain-FBHF,6,24,0,0,0.06320820748806,a
real,train,train,bv,0.5,plain-FBHF,7,28,0,0,0.06131640076637268,a
real,train,train,bv,0.5,plain-FBHF,8,32,0,0,0.0593155175447464,a
real,train,train,bv,0.5,plain-FBHF,9,36,0,0,0.05731414258480072,a
real,train,train,bv,0.5,plain-FBHF,10,40,0,0,0.0554128959774971,a
real,train,train,bv,0.5,plain-FBHF,11,44,0,0,0.05365556478500366,a
real,train,train,bv,0.5,plain-FBHF,12,48,0,0,0.05204415321350098,a
real,train,train,bv,0.5,plain-FBHF,13,52,0,0,0.050567805767059326,a
real,train,train,bv,0.5,plain-FBHF,14,56,0,0,0.049213238060474396,a
real,train,train,bv,0.5,plain-FBHF,15,60,0,0,0.047960396856069565,a
real,train,train,bv,0.5,plain-FBHF,16,64,0,0,0.04678291827440262,a
real,train,train,bv,0.5,plain-FBHF,17,68,0,0,0.045658010989427567,a
real,train,train,bv,0.5,plain-FBHF,18,72,0,0,0.04457610100507736,a
real,train,train,bv,0.5,plain-FBHF,19,76,0,0,0.04354060813784599,a
real,train,train,bv,0.5,plain-FBHF,20,80,0,0,0.0425591766834259,a
real,train,train,bv,0.5,plain-FBHF,21,84,0,0,0.041634462773799896,a
real,train,train,bv,0.5,plain-FBHF,22,88,0,0,0.04076121374964714,a
real,train,train,bv,0.5,plain-FBHF,23,92,0,0,0.039929695427417755,a
real,train,train,bv,0.5,plain-FBHF,24,96,0,0,0.0391310416162014,a
real,train,train,bv,0.5,plain-FBHF,25,100,0,0,0.03836008906364441,a
real,train,train,bv,0.5,plain-FBHF,26,104,0,0,0.0376153364777565,a
real,train,train,bv,0.5,plain-FBHF,27,108,0,0,0.03689722716808319,a
