block,data,blur,noise,c,method,mean,std,median,oracle_K,network_forward_K,backtracks_K
main_real_synth,real,train,train,0.5,plain-FBHF,0.0007700133542698495,0.000654796751185772,0.0005833737086504698,4000,0,0
main_real_synth,real,train,train,0.5,line-search-FBHF,0.0007256652027223254,0.000668962616662648,0.0005722950445488095,4526,0,263
main_real_synth,real,train,train,0.5,fixed-precond,0.00024156889230653178,0.00013709755852561644,0.0001911758226924576,4000,0,0
main_real_synth,real,train,train,0.5,learned-warped-bv-c0.5,0.00014320354688379666,0.000147784305279663,0.00010067697439808398,4000,1000,0
main_real_synth,synthetic,train,train,0.5,plain-FBHF,0.007468273239283008,0.009049358984080758,0.004120671655982733,4000,0,0
main_real_synth,synthetic,train,train,0.5,line-search-FBHF,0.00814471667001726,0.009906390982370377,0.0044298802968114614,4526,0,263
main_real_synth,synthetic,train,train,0.5,fixed-precond,0.001633222539567214,0.0009724267086469876,0.0014093915233388543,4000,0,0
main_real_synth,synthetic,train,train,0.5,learned-warped-bv-c0.5,0.0012022650621474895,0.0012699071306737323,0.0008785013051237911,4000,1000,0
cscan_real,real,train,train,0.25,plain-FBHF,0.0007209641597683003,0.0006727509729910502,0.0005070340121164918,4000,0,0
cscan_real,real,train,train,0.25,line-search-FBHF,0.0006410730630221906,0.0006441015126838218,0.00046749363536946476,4526,0,263
cscan_real,real,train,train,0.25,fixed-precond,0.00022524426242398476,0.0001224642466980292,0.00018826678569894284,4000,0,0
cscan_real,real,train,train,0.25,learned-warped-bv-c0.25,0.00012440587829587457,7.409995155747714e-05,9.665000106906518e-05,4000,1000,0
cscan_real,real,train,train,0.5,plain-FBHF,0.0007209641597683003,0.0006727509729910502,0.0005070340121164918,4000,0,0
cscan_real,real,train,train,0.5,line-search-FBHF,0.0006410730630221906,0.0006441015126838218,0.00046749363536946476,4526,0,263
cscan_real,real,train,train,0.5,fixed-precond,0.00022524426242398476,0.0001224642466980292,0.00018826678569894284,4000,0,0
cscan_real,real,train,train,0.5,learned-warped-bv-c0.5,0.00012670292250049897,7.970228619083819e-05,9.756053623277694e-05,4000,1000,0
cscan_real,real,train,train,0.9,plain-FBHF,0.0007209641597683003,0.0006727509729910502,0.0005070340121164918,4000,0,0
cscan_real,real,train,train,0.9,line-search-FBHF,0.0006410730630221906,0.0006441015126838218,0.00046749363536946476,4526,0,263
cscan_real,real,train,train,0.9,fixed-precond,0.00022524426242398476,0.0001224642466980292,0.00018826678569894284,4000,0,0
cscan_real,real,train,train,0.9,learned-warped-bv-c0.9,0.00012762807233457352,8.11838603449922e-05,9.898387361317873e-05,4000,1000,0
ood_blur_real,real,0.75,high,0.5,plain-FBHF,5.7002882385859266e-05,2.429494747675841e-05,4.979132972948719e-05,4000,0,0
ood_blur_real,real,0.75,high,0.5,line-search-FBHF,6.982973733471454e-06,3.171007106041831e-06,6.061748990759952e-06,4526,0,263
ood_blur_real,real,0.75,high,0.5,fixed-precond,9.052506464968246e-05,3.784662925438543e-05,7.811304749338888e-05,4000,0,0
ood_blur_real,real,0.75,high,0.5,learned-warped-bv-c0.5,4.647866572327075e-05,1.8474014145542034e-05,4.094905671081506e-05,4000,1000,0
ood_blur_real,real,wide,high,0.5,plain-FBHF,0.0028652121054619784,0.002120915368117842,0.002444557612761855,4000,0,0
ood_blur_real,real,wide,high,0.5,line-search-FBHF,0.002712633262262898,0.002029047199502149,0.0023811772698536515,4526,0,263
ood_blur_real,real,wide,high,0.5,fixed-precond,0.0003770919238377246,0.0001576767761294143,0.00036265306698624045,4000,0,0
ood_blur_real,real,wide,high,0.5,learned-warped-bv-c0.5,0.00023908849550480227,0.00012500991680824345,0.0002167319762520492,4000,1000,0
ood_blur_real,real,motion,high,0.5,plain-FBHF,0.00019037825052237167,0.0001901569049127957,0.00011099930998170748,4000,0,0
ood_blur_real,real,motion,high,0.5,line-search-FBHF,0.00011987794192691581,0.00016620862721571992,5.8588806496118195e-05,4526,0,263
ood_blur_real,real,motion,high,0.5,fixed-precond,0.029453019585730544,0.06590378701186163,0.00013961548393126577,4000,0,0
ood_blur_real,real,motion,high,0.5,learned-warped-bv-c0.5,0.009630542381387386,0.010683049118283947,0.00014131916395854205,4000,1000,0
ood_noise_real,real,train,low,0.5,plain-FBHF,0.0010613776785248774,0.000918500429138549,0.000713514193193987,4000,0,0
ood_noise_real,real,train,low,0.5,line-search-FBHF,0.000964338580246249,0.0008915933311246589,0.0005911992338951677,4526,0,263
ood_noise_real,real,train,low,0.5,fixed-precond,0.0002731111025013888,0.00015223088420790397,0.00022567080304725096,4000,0,0
