scenario,plain_mean_std,line_search_mean_std,fixed_warped_mean_std,learned_warped_mean_std,learned_vs_fixed_percent
Main real/Gaussian,7.70e-04 +/- 6.55e-04,7.26e-04 +/- 6.69e-04,2.42e-04 +/- 1.37e-04,1.43e-04 +/- 1.48e-04,40.7%
Main synthetic/Gaussian,7.47e-03 +/- 9.05e-03,8.14e-03 +/- 9.91e-03,1.63e-03 +/- 9.72e-04,1.20e-03 +/- 1.27e-03,26.4%
c=0.25 real/Gaussian,7.21e-04 +/- 6.73e-04,6.41e-04 +/- 6.44e-04,2.25e-04 +/- 1.22e-04,1.24e-04 +/- 7.41e-05,44.8%
c=0.50 real/Gaussian,7.21e-04 +/- 6.73e-04,6.41e-04 +/- 6.44e-04,2.25e-04 +/- 1.22e-04,1.27e-04 +/- 7.97e-05,43.7%
c=0.90 real/Gaussian,7.21e-04 +/- 6.73e-04,6.41e-04 +/- 6.44e-04,2.25e-04 +/- 1.22e-04,1.28e-04 +/- 8.12e-05,43.3%
Small blur/high noise,5.70e-05 +/- 2.43e-05,6.98e-06 +/- 3.17e-06,9.05e-05 +/- 3.78e-05,4.65e-05 +/- 1.85e-05,48.7%
Wide blur/high noise,2.87e-03 +/- 2.12e-03,2.71e-03 +/- 2.03e-03,3.77e-04 +/- 1.58e-04,2.39e-04 +/- 1.25e-04,36.6%
"Motion/high, Gaussian-trained",1.90e-04 +/- 1.90e-04,1.20e-04 +/- 1.66e-04,2.95e-02 +/- 6.59e-02,9.63e-03 +/- 1.07e-02,67.3%
Low noise,1.06e-03 +/- 9.19e-04,9.64e-04 +/- 8.92e-04,2.73e-04 +/- 1.52e-04,1.82e-04 +/- 1.92e-04,33.5%
High noise,9.26e-04 +/- 1.06e-03,8.67e-04 +/- 1.06e-03,2.18e-04 +/- 1.36e-04,1.21e-04 +/- 8.98e-05,44.6%
"Motion/high, motion-trained",1.90e-04 +/- 1.90e-04,1.20e-04 +/- 1.66e-04,2.95e-02 +/- 6.59e-02,7.06e-05 +/- 3.12e-05,99.8%
