data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,train,train,bv,0.25,plain-FBHF,0,4000,0,0,0.0005095432861708105
real,train,train,bv,0.25,plain-FBHF,1,4000,0,0,0.0010309467324987054
real,train,train,bv,0.25,plain-FBHF,2,4000,0,0,0.001551552675664425
real,train,train,bv,0.25,plain-FBHF,3,4000,0,0,0.0003911543753929436
real,train,train,bv,0.25,plain-FBHF,4,4000,0,0,0.0005971157806925476
real,train,train,bv,0.25,plain-FBHF,5,4000,0,0,8.132075890898705e-05
real,train,train,bv,0.25,plain-FBHF,6,4000,0,0,0.0002134078968083486
real,train,train,bv,0.25,plain-FBHF,7,4000,0,0,0.0004782109463121742
real,train,train,bv,0.25,plain-FBHF,8,4000,0,0,0.0002586940536275506
real,train,train,bv,0.25,plain-FBHF,9,4000,0,0,0.00018823389837052673
real,train,train,bv,0.25,plain-FBHF,10,4000,0,0,0.0006421225261874497
real,train,train,bv,0.25,plain-FBHF,11,4000,0,0,0.00020860206859651953
real,train,train,bv,0.25,plain-FBHF,12,4000,0,0,9.963952470570803e-05
real,train,train,bv,0.25,plain-FBHF,13,4000,0,0,0.0008840220980346203
real,train,train,bv,0.25,plain-FBHF,14,4000,0,0,8.995505777420476e-05
real,train,train,bv,0.25,plain-FBHF,15,4000,0,0,0.003185989335179329
real,train,train,bv,0.25,plain-FBHF,16,4000,0,0,0.0001342840405413881
real,train,train,bv,0.25,plain-FBHF,17,4000,0,0,0.0008119892445392907
real,train,train,bv,0.25,plain-FBHF,18,4000,0,0,4.547311982605606e-05
real,train,train,bv,0.25,plain-FBHF,19,4000,0,0,0.0024707785341888666
real,train,train,bv,0.25,plain-FBHF,20,4000,0,0,0.002156264381483197
real,train,train,bv,0.25,plain-FBHF,21,4000,0,0,0.00013560290972236544
real,train,train,bv,0.25,plain-FBHF,22,4000,0,0,0.0007212584023363888
real,train,train,bv,0.25,plain-FBHF,23,4000,0,0,0.00014957990788388997
real,train,train,bv,0.25,plain-FBHF,24,4000,0,0,0.0010976745979860425
real,train,train,bv,0.25,plain-FBHF,25,4000,0,0,0.0017563747242093086
real,train,train,bv,0.25,plain-FBHF,26,4000,0,0,0.0005980476853437722
real,train,train,bv,0.25,plain-FBHF,27,4000,0,0,0.0005831290618516505
real,train,train,bv,0.25,plain-FBHF,28,4000,0,0,0.0014154163654893637
real,train,train,bv,0.25,plain-FBHF,29,4000,0,0,0.00031343827140517533
real,train,train,bv,0.25,plain-FBHF,30,4000,0,0,0.0012630200944840908
real,train,train,bv,0.25,plain-FBHF,31,4000,0,0,0.001051906030625105
real,train,train,bv,0.25,plain-FBHF,32,4000,0,0,0.00023444020189344883
real,train,train,bv,0.25,plain-FBHF,33,4000,0,0,0.0018116097198799253
real,train,train,bv,0.25,plain-FBHF,34,4000,0,0,0.00015398052346426994
real,train,train,bv,0.25,plain-FBHF,35,4000,0,0,0.00017745618242770433
real,train,train,bv,0.25,plain-FBHF,36,4000,0,0,0.001624934608116746
real,train,train,bv,0.25,plain-FBHF,37,4000,0,0,0.001524473656900227
real,train,train,bv,0.25,plain-FBHF,38,4000,0,0,0.0005045247380621731
real,train,train,bv,0.25,plain-FBHF,39,4000,0,0,0.00027182410121895373
real,train,train,bv,0.25,plain-FBHF,40,4000,0,0,0.00014266198559198529
real,train,train,bv,0.25,plain-FBHF,41,4000,0,0,0.001613726606592536
real,train,train,bv,0.25,plain-FBHF,42,4000,0,0,6.928007496753708e-05
real,train,train,bv,0.25,plain-FBHF,43,4000,0,0,0.00045220376341603696
real,train,train,bv,0.25,plain-FBHF,44,4000,0,0,0.0007531875744462013
real,train,train,bv,0.25,plain-FBHF,45,4000,0,0,0.0007210000185295939
real,train,train,bv,0.25,plain-FBHF,46,4000,0,0,0.00015337181685026735
real,train,train,bv,0.25,plain-FBHF,47,4000,0,0,0.0010600751265883446
real,train,train,bv,0.25,plain-FBHF,48,4000,0,0,0.0013086076360195875
real,train,train,bv,0.25,plain-FBHF,49,4000,0,0,6.653700256720185e-05
real,train,train,bv,0.25,plain-FBHF,50,4000,0,0,0.0008664265624247491
real,train,train,bv,0.25,plain-FBHF,51,4000,0,0,0.00044751030509360135
real,train,train,bv,0.25,plain-FBHF,52,4000,0,0,0.0002036878577200696
real,train,train,bv,0.25,plain-FBHF,53,4000,0,0,0.001950220437720418
real,train,train,bv,0.25,plain-FBHF,54,4000,0,0,0.00015158287715166807
real,train,train,bv,0.25,plain-FBHF,55,4000,0,0,0.00011333672591717914
real,train,train,bv,0.25,plain-FBHF,56,4000,0,0,0.0012002189178019762
real,train,train,bv,0.25,plain-FBHF,57,4000,0,0,0.000731533276848495
real,train,train,bv,0.25,plain-FBHF,58,4000,0,0,0.0004927265690639615
real,train,train,bv,0.25,plain-FBHF,59,4000,0,0,0.0004821583570446819
real,train,train,bv,0.25,plain-FBHF,60,4000,0,0,0.00012034042447339743
real,train,train,bv,0.25,plain-FBHF,61,4000,0,0,9.888407657854259e-05
real,train,train,bv,0.25,plain-FBHF,62,4000,0,0,0.0008790275896899402
real,train,train,bv,0.25,plain-FBHF,63,4000,0,0,0.0006454085232689977
