data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,motion,high,bv,0.5,plain-FBHF,0,4000,0,0,8.115384844131768e-05
real,motion,high,bv,0.5,plain-FBHF,1,4000,0,0,9.134971332969144e-05
real,motion,high,bv,0.5,plain-FBHF,2,4000,0,0,0.00012090184463886544
real,motion,high,bv,0.5,plain-FBHF,3,4000,0,0,3.8467733247671276e-05
real,motion,high,bv,0.5,plain-FBHF,4,4000,0,0,6.896442937431857e-05
real,motion,high,bv,0.5,plain-FBHF,5,4000,0,0,8.469004387734458e-05
real,motion,high,bv,0.5,plain-FBHF,6,4000,0,0,0.0001393432030454278
real,motion,high,bv,0.5,plain-FBHF,7,4000,0,0,0.00014152210496831685
real,motion,high,bv,0.5,plain-FBHF,8,4000,0,0,0.00011223473848076537
real,motion,high,bv,0.5,plain-FBHF,9,4000,0,0,0.00032095357892103493
real,motion,high,bv,0.5,plain-FBHF,10,4000,0,0,5.680548565578647e-05
real,motion,high,bv,0.5,plain-FBHF,11,4000,0,0,0.00022141171211842448
real,motion,high,bv,0.5,plain-FBHF,12,4000,0,0,8.275950676761568e-05
real,motion,high,bv,0.5,plain-FBHF,13,4000,0,0,0.0005113785737194121
real,motion,high,bv,0.5,plain-FBHF,14,4000,0,0,0.0007276464602909982
real,motion,high,bv,0.5,plain-FBHF,15,4000,0,0,8.668995724292472e-05
real,motion,high,bv,0.5,plain-FBHF,16,4000,0,0,0.000698947231285274
real,motion,high,bv,0.5,plain-FBHF,17,4000,0,0,6.80626108078286e-05
real,motion,high,bv,0.5,plain-FBHF,18,4000,0,0,9.221075742971152e-05
real,motion,high,bv,0.5,plain-FBHF,19,4000,0,0,0.0005021285614930093
real,motion,high,bv,0.5,plain-FBHF,20,4000,0,0,0.0008546118042431772
real,motion,high,bv,0.5,plain-FBHF,21,4000,0,0,0.00021504082542378455
real,motion,high,bv,0.5,plain-FBHF,22,4000,0,0,0.00011595246905926615
real,motion,high,bv,0.5,plain-FBHF,23,4000,0,0,0.00039920807466842234
real,motion,high,bv,0.5,plain-FBHF,24,4000,0,0,0.00011118596739834175
real,motion,high,bv,0.5,plain-FBHF,25,4000,0,0,0.00022791681112721562
real,motion,high,bv,0.5,plain-FBHF,26,4000,0,0,8.715534204384312e-05
real,motion,high,bv,0.5,plain-FBHF,27,4000,0,0,6.352840864565223e-05
real,motion,high,bv,0.5,plain-FBHF,28,4000,0,0,0.00014958111569285393
real,motion,high,bv,0.5,plain-FBHF,29,4000,0,0,0.00014478203956969082
real,motion,high,bv,0.5,plain-FBHF,30,4000,0,0,8.420785889029503e-05
real,motion,high,bv,0.5,plain-FBHF,31,4000,0,0,0.00022526513203047216
real,motion,high,bv,0.5,plain-FBHF,32,4000,0,0,0.00014878332149237394
real,motion,high,bv,0.5,plain-FBHF,33,4000,0,0,0.0005553278606384993
real,motion,high,bv,0.5,plain-FBHF,34,4000,0,0,9.475808474235237e-05
real,motion,high,bv,0.5,plain-FBHF,35,4000,0,0,0.0005589393549598753
real,motion,high,bv,0.5,plain-FBHF,36,4000,0,0,8.01722562755458e-05
real,motion,high,bv,0.5,plain-FBHF,37,4000,0,0,0.0005033704219385982
real,motion,high,bv,0.5,plain-FBHF,38,4000,0,0,0.00020290730753913522
real,motion,high,bv,0.5,plain-FBHF,39,4000,0,0,7.043536606943235e-05
real,motion,high,bv,0.5,plain-FBHF,40,4000,0,0,5.251411130302586e-05
real,motion,high,bv,0.5,plain-FBHF,41,4000,0,0,0.00018579029710963368
real,motion,high,bv,0.5,plain-FBHF,42,4000,0,0,4.653975702240132e-05
real,motion,high,bv,0.5,plain-FBHF,43,4000,0,0,0.00011666536738630384
real,motion,high,bv,0.5,plain-FBHF,44,4000,0,0,0.00010472820576978847
real,motion,high,bv,0.5,plain-FBHF,45,4000,0,0,5.733007492381148e-05
real,motion,high,bv,0.5,plain-FBHF,46,4000,0,0,6.777318776585162e-05
real,motion,high,bv,0.5,plain-FBHF,47,4000,0,0,5.26222211192362e-05
real,motion,high,bv,0.5,plain-FBHF,48,4000,0,0,0.00010266325989505276
real,motion,high,bv,0.5,plain-FBHF,49,4000,0,0,0.00032577247475273907
real,motion,high,bv,0.5,plain-FBHF,50,4000,0,0,8.862363029038534e-05
real,motion,high,bv,0.5,plain-FBHF,51,4000,0,0,0.00011081265256507322
real,motion,high,bv,0.5,plain-FBHF,52,4000,0,0,0.000113808608148247
real,motion,high,bv,0.5,plain-FBHF,53,4000,0,0,8.13180158729665e-05
real,motion,high,bv,0.5,plain-FBHF,54,4000,0,0,0.00018029332568403333
real,motion,high,bv,0.5,plain-FBHF,55,4000,0,0,0.00011601304868236184
real,motion,high,bv,0.5,plain-FBHF,56,4000,0,0,0.00022914378496352583
real,motion,high,bv,0.5,plain-FBHF,57,4000,0,0,7.70227998145856e-05
real,motion,high,bv,0.5,plain-FBHF,58,4000,0,0,0.0005851503228768706
real,motion,high,bv,0.5,plain-FBHF,59,4000,0,0,6.988358654780313e-05
real,motion,high,bv,0.5,plain-FBHF,60,4000,0,0,6.495152047136799e-05
real,motion,high,bv,0.5,plain-FBHF,61,4000,0,0,5.1264039939269423e-05
real,motion,high,bv,0.5,plain-FBHF,62,4000,0,0,0.00010444629879202694
real,motion,high,bv,0.5,plain-FBHF,63,4000,0,0,5.8325524150859565e-05
real,motion,high,bv,0.5,line-search-FBHF,0,4526,0,263,4.273836748325266e-05
real,motion,high,bv,0.5,line-search-FBHF,1,4526,0,263,2.290780503244605e-05
real,motion,high,bv,0.5,line-search-FBHF,2,4526,0,263,6.36804907117039e-05
real,motion,high,bv,0.5,line-search-FBHF,3,4526,0,263,1.2889883691968862e-05
real,motion,high,bv,0.5,line-search-FBHF,4,4526,0,263,2.3639080609427765e-05
real,motion,high,bv,0.5,line-search-FBHF,5,4526,0,263,3.932430627173744e-05
real,motion,high,bv,0.5,line-search-FBHF,6,4526,0,263,8.802997035672888e-05
real,motion,high,bv,0.5,line-search-FBHF,7,4526,0,263,3.568288229871541e-05
real,motion,high,bv,0.5,line-search-FBHF,8,4526,0,263,1.2323374903644435e-05
real,motion,high,bv,0.5,line-search-FBHF,9,4526,0,263,0.0002460058603901416
real,motion,high,bv,0.5,line-search-FBHF,10,4526,0,263,8.923824680096004e-06
real,motion,high,bv,0.5,line-search-FBHF,11,4526,0,263,0.00018951277888845652
real,motion,high,bv,0.5,line-search-FBHF,12,4526,0,263,2.892692464229185e-05
real,motion,high,bv,0.5,line-search-FBHF,13,4526,0,263,0.0003495116834528744
real,motion,high,bv,0.5,line-search-FBHF,14,4526,0,263,0.0005888137966394424
real,motion,high,bv,0.5,line-search-FBHF,15,4526,0,263,1.594101013324689e-05
real,motion,high,bv,0.5,line-search-FBHF,16,4526,0,263,0.0005832668975926936
real,motion,high,bv,0.5,line-search-FBHF,17,4526,0,263,2.5748095140443183e-05
real,motion,high,bv,0.5,line-search-FBHF,18,4526,0,263,5.7315977755934e-05
real,motion,high,bv,0.5,line-search-FBHF,19,4526,0,263,0.0003588800900615752
real,motion,high,bv,0.5,line-search-FBHF,20,4526,0,263,0.0007193165365606546
real,motion,high,bv,0.5,line-search-FBHF,21,4526,0,263,0.00015804088616278023
real,motion,high,bv,0.5,line-search-FBHF,22,4526,0,263,6.662192026851699e-05
real,motion,high,bv,0.5,line-search-FBHF,23,4526,0,263,0.00027423532446846366
real,motion,high,bv,0.5,line-search-FBHF,24,4526,0,263,1.9155855625285767e-05
real,motion,high,bv,0.5,line-search-FBHF,25,4526,0,263,0.0001330187515122816
real,motion,high,bv,0.5,line-search-FBHF,26,4526,0,263,1.4977626051404513e-05
real,motion,high,bv,0.5,line-search-FBHF,27,4526,0,263,1.4050746358407196e-05
real,motion,high,bv,0.5,line-search-FBHF,28,4526,0,263,1.3975050933368038e-05
real,motion,high,bv,0.5,line-search-FBHF,29,4526,0,263,9.801571286516264e-05
real,motion,high,bv,0.5,line-search-FBHF,30,4526,0,263,6.10896895523183e-05
real,motion,high,bv,0.5,line-search-FBHF,31,4526,0,263,0.0001551227323943749
real,motion,high,bv,0.5,line-search-FBHF,32,4526,0,263,9.08467554836534e-05
real,motion,high,bv,0.5,line-search-FBHF,33,4526,0,263,0.00046059436863288283
real,motion,high,bv,0.5,line-search-FBHF,34,4526,0,263,4.326808993937448e-05
real,motion,high,bv,0.5,line-search-FBHF,35,4526,0,263,0.00041561888065189123
real,motion,high,bv,0.5,line-search-FBHF,36,4526,0,263,1.0432558156026062e-05
real,motion,high,bv,0.5,line-search-FBHF,37,4526,0,263,0.0003937925794161856
real,motion,high,bv,0.5,line-search-FBHF,38,4526,0,263,0.00012362125562503934
real,motion,high,bv,0.5,line-search-FBHF,39,4526,0,263,2.741354728641454e-05
real,motion,high,bv,0.5,line-search-FBHF,40,4526,0,263,6.3293705352407414e-06
real,motion,high,bv,0.5,line-search-FBHF,41,4526,0,263,5.986163523630239e-05
real,motion,high,bv,0.5,line-search-FBHF,42,4526,0,263,6.3027227952261455e-06
real,motion,high,bv,0.5,line-search-FBHF,43,4526,0,263,6.588918768102303e-05
real,motion,high,bv,0.5,line-search-FBHF,44,4526,0,263,7.023501530056819e-05
real,motion,high,bv,0.5,line-search-FBHF,45,4526,0,263,1.0197689334745519e-05
real,motion,high,bv,0.5,line-search-FBHF,46,4526,0,263,8.345989044755697e-06
real,motion,high,bv,0.5,line-search-FBHF,47,4526,0,263,1.3870536349713802e-05
real,motion,high,bv,0.5,line-search-FBHF,48,4526,0,263,2.7283722374704666e-05
real,motion,high,bv,0.5,line-search-FBHF,49,4526,0,263,0.0002475423098076135
real,motion,high,bv,0.5,line-search-FBHF,50,4526,0,263,6.174159807414981e-06
real,motion,high,bv,0.5,line-search-FBHF,51,4526,0,263,1.1375612302799709e-05
real,motion,high,bv,0.5,line-search-FBHF,52,4526,0,263,6.175436283228919e-05
real,motion,high,bv,0.5,line-search-FBHF,53,4526,0,263,3.586476304917596e-05
real,motion,high,bv,0.5,line-search-FBHF,54,4526,0,263,6.979110185056925e-05
real,motion,high,bv,0.5,line-search-FBHF,55,4526,0,263,7.254291995195672e-05
real,motion,high,bv,0.5,line-search-FBHF,56,4526,0,263,9.097728616325185e-05
real,motion,high,bv,0.5,line-search-FBHF,57,4526,0,263,4.049273411510512e-05
real,motion,high,bv,0.5,line-search-FBHF,58,4526,0,263,0.0004973839386366308
real,motion,high,bv,0.5,line-search-FBHF,59,4526,0,263,9.980822142097168e-06
real,motion,high,bv,0.5,line-search-FBHF,60,4526,0,263,7.111902232281864e-05
real,motion,high,bv,0.5,line-search-FBHF,61,4526,0,263,8.491321750625502e-06
real,motion,high,bv,0.5,line-search-FBHF,62,4526,0,263,6.799545371904969e-05
real,motion,high,bv,0.5,line-search-FBHF,63,4526,0,263,2.511463753762655e-05
real,motion,high,bv,0.5,fixed-precond,0,4000,0,0,9.928987128660083e-05
real,motion,high,bv,0.5,fixed-precond,1,4000,0,0,0.00014242202450986952
real,motion,high,bv,0.5,fixed-precond,2,4000,0,0,0.0001250565837835893
real,motion,high,bv,0.5,fixed-precond,3,4000,0,0,0.11008916050195694
real,motion,high,bv,0.5,fixed-precond,4,4000,0,0,0.00010147267312277108
real,motion,high,bv,0.5,fixed-precond,5,4000,0,0,9.266887354897335e-05
real,motion,high,bv,0.5,fixed-precond,6,4000,0,0,0.00016083018272183836
real,motion,high,bv,0.5,fixed-precond,7,4000,0,0,0.0002220565074821934
real,motion,high,bv,0.5,fixed-precond,8,4000,0,0,0.0001892111758934334
real,motion,high,bv,0.5,fixed-precond,9,4000,0,0,0.00012173282448202372
real,motion,high,bv,0.5,fixed-precond,10,4000,0,0,8.542447903892025e-05
real,motion,high,bv,0.5,fixed-precond,11,4000,0,0,0.000147441984154284
real,motion,high,bv,0.5,fixed-precond,12,4000,0,0,0.00011475434439489618
real,motion,high,bv,0.5,fixed-precond,13,4000,0,0,0.191172793507576
real,motion,high,bv,0.5,fixed-precond,14,4000,0,0,0.0002461012336425483
real,motion,high,bv,0.5,fixed-precond,15,4000,0,0,0.0001356935827061534
real,motion,high,bv,0.5,fixed-precond,16,4000,0,0,0.00014544499572366476
real,motion,high,bv,0.5,fixed-precond,17,4000,0,0,9.48783490457572e-05
real,motion,high,bv,0.5,fixed-precond,18,4000,0,0,9.48958404478617e-05
real,motion,high,bv,0.5,fixed-precond,19,4000,0,0,0.000262489658780396
real,motion,high,bv,0.5,fixed-precond,20,4000,0,0,0.08144419640302658
real,motion,high,bv,0.5,fixed-precond,21,4000,0,0,0.00015948677901178598
real,motion,high,bv,0.5,fixed-precond,22,4000,0,0,0.00012399107799865305
real,motion,high,bv,0.5,fixed-precond,23,4000,0,0,0.00030124152544885874
real,motion,high,bv,0.5,fixed-precond,24,4000,0,0,0.15173275768756866
real,motion,high,bv,0.5,fixed-precond,25,4000,0,0,0.20376059412956238
real,motion,high,bv,0.5,fixed-precond,26,4000,0,0,0.00014028637087903917
real,motion,high,bv,0.5,fixed-precond,27,4000,0,0,0.04682683199644089
