data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,train,low,bv,0.5,plain-FBHF,0,4000,0,0,0.00012846224126406014
real,train,low,bv,0.5,plain-FBHF,1,4000,0,0,0.0006220844807103276
real,train,low,bv,0.5,plain-FBHF,2,4000,0,0,0.0003672249149531126
real,train,low,bv,0.5,plain-FBHF,3,4000,0,0,0.0005670047248713672
real,train,low,bv,0.5,plain-FBHF,4,4000,0,0,0.002758620772510767
real,train,low,bv,0.5,plain-FBHF,5,4000,0,0,0.0003076773136854172
real,train,low,bv,0.5,plain-FBHF,6,4000,0,0,0.0021278117783367634
real,train,low,bv,0.5,plain-FBHF,7,4000,0,0,0.0007340257870964706
real,train,low,bv,0.5,plain-FBHF,8,4000,0,0,0.0012444325257092714
real,train,low,bv,0.5,plain-FBHF,9,4000,0,0,7.922507211333141e-05
real,train,low,bv,0.5,plain-FBHF,10,4000,0,0,0.0019920046906918287
real,train,low,bv,0.5,plain-FBHF,11,4000,0,0,0.00013798687723465264
real,train,low,bv,0.5,plain-FBHF,12,4000,0,0,0.0026600430719554424
real,train,low,bv,0.5,plain-FBHF,13,4000,0,0,0.0001993317127926275
real,train,low,bv,0.5,plain-FBHF,14,4000,0,0,0.0005364216049201787
real,train,low,bv,0.5,plain-FBHF,15,4000,0,0,0.0006668755668215454
real,train,low,bv,0.5,plain-FBHF,16,4000,0,0,0.0010232876520603895
real,train,low,bv,0.5,plain-FBHF,17,4000,0,0,0.0006443287711590528
real,train,low,bv,0.5,plain-FBHF,18,4000,0,0,0.0009190149139612913
real,train,low,bv,0.5,plain-FBHF,19,4000,0,0,0.0016819454031065106
real,train,low,bv,0.5,plain-FBHF,20,4000,0,0,0.00043781351996585727
real,train,low,bv,0.5,plain-FBHF,21,4000,0,0,0.0007462013163603842
real,train,low,bv,0.5,plain-FBHF,22,4000,0,0,0.0024502433370798826
real,train,low,bv,0.5,plain-FBHF,23,4000,0,0,0.00014515212387777865
real,train,low,bv,0.5,plain-FBHF,24,4000,0,0,0.0009693105821497738
real,train,low,bv,0.5,plain-FBHF,25,4000,0,0,0.0022807903587818146
real,train,low,bv,0.5,plain-FBHF,26,4000,0,0,0.0031620184890925884
real,train,low,bv,0.5,plain-FBHF,27,4000,0,0,0.0006322305416688323
real,train,low,bv,0.5,plain-FBHF,28,4000,0,0,0.00020107701129745692
real,train,low,bv,0.5,plain-FBHF,29,4000,0,0,0.0004737545095849782
real,train,low,bv,0.5,plain-FBHF,30,4000,0,0,0.0028918099123984575
real,train,low,bv,0.5,plain-FBHF,31,4000,0,0,0.0016268836334347725
real,train,low,bv,0.5,plain-FBHF,32,4000,0,0,0.00010176396608585492
real,train,low,bv,0.5,plain-FBHF,33,4000,0,0,0.001250388566404581
real,train,low,bv,0.5,plain-FBHF,34,4000,0,0,0.00025839320733211935
real,train,low,bv,0.5,plain-FBHF,35,4000,0,0,0.0007742352900095284
real,train,low,bv,0.5,plain-FBHF,36,4000,0,0,0.00022545822139363736
real,train,low,bv,0.5,plain-FBHF,37,4000,0,0,0.0016292919171974063
real,train,low,bv,0.5,plain-FBHF,38,4000,0,0,0.0007881788769736886
real,train,low,bv,0.5,plain-FBHF,39,4000,0,0,0.00031531587592326105
real,train,low,bv,0.5,plain-FBHF,40,4000,0,0,0.002739162649959326
real,train,low,bv,0.5,plain-FBHF,41,4000,0,0,0.0027951858937740326
real,train,low,bv,0.5,plain-FBHF,42,4000,0,0,0.003348875092342496
real,train,low,bv,0.5,plain-FBHF,43,4000,0,0,0.0005986205069348216
real,train,low,bv,0.5,plain-FBHF,44,4000,0,0,0.0008736680611036718
real,train,low,bv,0.5,plain-FBHF,45,4000,0,0,0.002430238528177142
real,train,low,bv,0.5,plain-FBHF,46,4000,0,0,7.229842594824731e-05
real,train,low,bv,0.5,plain-FBHF,47,4000,0,0,0.0006078935111872852
real,train,low,bv,0.5,plain-FBHF,48,4000,0,0,0.00042708648834377527
real,train,low,bv,0.5,plain-FBHF,49,4000,0,0,0.00036695870221592486
real,train,low,bv,0.5,plain-FBHF,50,4000,0,0,0.00031611963640898466
real,train,low,bv,0.5,plain-FBHF,51,4000,0,0,0.0008862640825100243
real,train,low,bv,0.5,plain-FBHF,52,4000,0,0,0.0004575635539367795
real,train,low,bv,0.5,plain-FBHF,53,4000,0,0,0.00020582537399604917
real,train,low,bv,0.5,plain-FBHF,54,4000,0,0,0.0012259134091436863
real,train,low,bv,0.5,plain-FBHF,55,4000,0,0,0.0004330523079261184
real,train,low,bv,0.5,plain-FBHF,56,4000,0,0,0.00018575640569906682
real,train,low,bv,0.5,plain-FBHF,57,4000,0,0,0.0007565959240309894
real,train,low,bv,0.5,plain-FBHF,58,4000,0,0,0.0024487492628395557
real,train,low,bv,0.5,plain-FBHF,59,4000,0,0,0.0006930025992915034
real,train,low,bv,0.5,plain-FBHF,60,4000,0,0,0.001223454950377345
real,train,low,bv,0.5,plain-FBHF,61,4000,0,0,0.002349053043872118
real,train,low,bv,0.5,plain-FBHF,62,4000,0,0,0.0005760312778875232
real,train,low,bv,0.5,plain-FBHF,63,4000,0,0,0.0011526806047186255
real,train,low,bv,0.5,line-search-FBHF,0,4526,0,263,8.498402894474566e-05
real,train,low,bv,0.5,line-search-FBHF,1,4526,0,263,0.0005675473948940635
real,train,low,bv,0.5,line-search-FBHF,2,4526,0,263,0.00035210917121730745
real,train,low,bv,0.5,line-search-FBHF,3,4526,0,263,0.0005099879344925284
real,train,low,bv,0.5,line-search-FBHF,4,4526,0,263,0.0026103018317371607
real,train,low,bv,0.5,line-search-FBHF,5,4526,0,263,0.00027031556237488985
real,train,low,bv,0.5,line-search-FBHF,6,4526,0,263,0.002064300701022148
real,train,low,bv,0.5,line-search-FBHF,7,4526,0,263,0.0006282274262048304
real,train,low,bv,0.5,line-search-FBHF,8,4526,0,263,0.0011429473524913192
real,train,low,bv,0.5,line-search-FBHF,9,4526,0,263,2.0586385289789177e-05
real,train,low,bv,0.5,line-search-FBHF,10,4526,0,263,0.001836368814110756
real,train,low,bv,0.5,line-search-FBHF,11,4526,0,263,0.0001092462262022309
real,train,low,bv,0.5,line-search-FBHF,12,4526,0,263,0.002631495939567685
real,train,low,bv,0.5,line-search-FBHF,13,4526,0,263,2.456057700328529e-05
real,train,low,bv,0.5,line-search-FBHF,14,4526,0,263,0.0004905075766146183
real,train,low,bv,0.5,line-search-FBHF,15,4526,0,263,0.0005697153392247856
real,train,low,bv,0.5,line-search-FBHF,16,4526,0,263,0.0009187797550112009
real,train,low,bv,0.5,line-search-FBHF,17,4526,0,263,0.0005958500551059842
real,train,low,bv,0.5,line-search-FBHF,18,4526,0,263,0.0009072755347006023
real,train,low,bv,0.5,line-search-FBHF,19,4526,0,263,0.0016598341753706336
real,train,low,bv,0.5,line-search-FBHF,20,4526,0,263,0.0003428440249990672
real,train,low,bv,0.5,line-search-FBHF,21,4526,0,263,0.0005865484126843512
real,train,low,bv,0.5,line-search-FBHF,22,4526,0,263,0.0023336277808994055
real,train,low,bv,0.5,line-search-FBHF,23,4526,0,263,0.0001039488852256909
real,train,low,bv,0.5,line-search-FBHF,24,4526,0,263,0.0008795452304184437
real,train,low,bv,0.5,line-search-FBHF,25,4526,0,263,0.002149516250938177
real,train,low,bv,0.5,line-search-FBHF,26,4526,0,263,0.003025624668225646
real,train,low,bv,0.5,line-search-FBHF,27,4526,0,263,0.0005332964938133955
real,train,low,bv,0.5,line-search-FBHF,28,4526,0,263,3.8019974454073235e-05
real,train,low,bv,0.5,line-search-FBHF,29,4526,0,263,0.0004417689342517406
real,train,low,bv,0.5,line-search-FBHF,30,4526,0,263,0.0026639080606400967
real,train,low,bv,0.5,line-search-FBHF,31,4526,0,263,0.0015475190011784434
real,train,low,bv,0.5,line-search-FBHF,32,4526,0,263,3.146174640278332e-05
real,train,low,bv,0.5,line-search-FBHF,33,4526,0,263,0.0012034601531922817
