data,blur,noise,c,method,image_index,oracle_K,rel_primal_error_K
real,train,train,0.5,plain-FBHF,0,4000,0.0005852186004631221
real,train,train,0.5,plain-FBHF,1,4000,0.0009545731008984149
real,train,train,0.5,plain-FBHF,2,4000,0.00025493718567304313
real,train,train,0.5,plain-FBHF,3,4000,0.0008058315142989159
real,train,train,0.5,plain-FBHF,4,4000,6.438904529204592e-05
real,train,train,0.5,plain-FBHF,5,4000,0.0018435366218909621
real,train,train,0.5,plain-FBHF,6,4000,0.0002720423508435488
real,train,train,0.5,plain-FBHF,7,4000,0.002290684264153242
real,train,train,0.5,plain-FBHF,8,4000,0.00012365485599730164
real,train,train,0.5,plain-FBHF,9,4000,0.0007896280731074512
real,train,train,0.5,plain-FBHF,10,4000,0.00020272702386137098
real,train,train,0.5,plain-FBHF,11,4000,0.0010593788465484977
real,train,train,0.5,plain-FBHF,12,4000,0.000162826050654985
real,train,train,0.5,plain-FBHF,13,4000,0.0012465746840462089
real,train,train,0.5,plain-FBHF,14,4000,0.00023424014216288924
real,train,train,0.5,plain-FBHF,15,4000,0.0005117798573337495
real,train,train,0.5,plain-FBHF,16,4000,0.0008671101531945169
real,train,train,0.5,plain-FBHF,17,4000,0.00011716719018295407
real,train,train,0.5,plain-FBHF,18,4000,0.0008627860806882381
real,train,train,0.5,plain-FBHF,19,4000,0.0032077892683446407
real,train,train,0.5,plain-FBHF,20,4000,0.00010941296932287514
real,train,train,0.5,plain-FBHF,21,4000,0.003392081009224057
real,train,train,0.5,plain-FBHF,22,4000,0.0007577786454930902
real,train,train,0.5,plain-FBHF,23,4000,0.00013497502368409187
real,train,train,0.5,plain-FBHF,24,4000,0.0004009045660495758
real,train,train,0.5,plain-FBHF,25,4000,0.0009669465944170952
real,train,train,0.5,plain-FBHF,26,4000,0.002905695466324687
real,train,train,0.5,plain-FBHF,27,4000,0.000253249891102314
real,train,train,0.5,plain-FBHF,28,4000,0.0004913441953249276
real,train,train,0.5,plain-FBHF,29,4000,0.0008876581559889019
real,train,train,0.5,plain-FBHF,30,4000,0.0005499502876773477
real,train,train,0.5,plain-FBHF,31,4000,0.000126073689898476
real,train,train,0.5,plain-FBHF,32,4000,0.0005365574616007507
real,train,train,0.5,plain-FBHF,33,4000,0.0001740519073791802
real,train,train,0.5,plain-FBHF,34,4000,0.001775759388692677
real,train,train,0.5,plain-FBHF,35,4000,9.909775690175593e-05
real,train,train,0.5,plain-FBHF,36,4000,0.00027291863807477057
real,train,train,0.5,plain-FBHF,37,4000,0.0004062191874254495
real,train,train,0.5,plain-FBHF,38,4000,0.00013737795234192163
real,train,train,0.5,plain-FBHF,39,4000,0.0001773634139681235
real,train,train,0.5,plain-FBHF,40,4000,0.00011907936277566478
real,train,train,0.5,plain-FBHF,41,4000,0.0002665812207851559
real,train,train,0.5,plain-FBHF,42,4000,0.00275352387689054
real,train,train,0.5,plain-FBHF,43,4000,0.0003442970628384501
real,train,train,0.5,plain-FBHF,44,4000,0.001513990806415677
real,train,train,0.5,plain-FBHF,45,4000,0.0009854240342974663
real,train,train,0.5,plain-FBHF,46,4000,0.0017649184446781874
real,train,train,0.5,plain-FBHF,47,4000,0.00011921831901418045
real,train,train,0.5,plain-FBHF,48,4000,0.00028142918017692864
real,train,train,0.5,plain-FBHF,49,4000,0.00013237769599072635
real,train,train,0.5,plain-FBHF,50,4000,0.001752829528413713
real,train,train,0.5,plain-FBHF,51,4000,0.0021050593350082636
real,train,train,0.5,plain-FBHF,52,4000,0.003178916871547699
real,train,train,0.5,plain-FBHF,53,4000,0.0009815053781494498
real,train,train,0.5,plain-FBHF,54,4000,0.0007294895476661623
real,train,train,0.5,plain-FBHF,55,4000,0.0003205762186553329
real,train,train,0.5,plain-FBHF,56,4000,0.001098860870115459
real,train,train,0.5,plain-FBHF,57,4000,0.0030949944630265236
real,train,train,0.5,plain-FBHF,58,4000,0.0002157504641218111
real,train,train,0.5,plain-FBHF,59,4000,0.00028043551719747484
real,train,train,0.5,plain-FBHF,60,4000,0.00045005505671724677
real,train,train,0.5,plain-FBHF,61,4000,8.204041660064831e-05
real,train,train,0.5,plain-FBHF,62,4000,0.0019491622224450111
real,train,train,0.5,plain-FBHF,63,4000,0.0002083446306642145
real,train,train,0.5,line-search-FBHF,0,4526,0.0005828012945130467
real,train,train,0.5,line-search-FBHF,1,4526,0.0010430571855977178
real,train,train,0.5,line-search-FBHF,2,4526,0.0002687528030946851
real,train,train,0.5,line-search-FBHF,3,4526,0.0008262543706223369
real,train,train,0.5,line-search-FBHF,4,4526,2.5433571863686666e-05
real,train,train,0.5,line-search-FBHF,5,4526,0.0018593661952763796
real,train,train,0.5,line-search-FBHF,6,4526,2.4204140572692268e-05
real,train,train,0.5,line-search-FBHF,7,4526,0.002265691524371505
real,train,train,0.5,line-search-FBHF,8,4526,8.295744919450954e-05
real,train,train,0.5,line-search-FBHF,9,4526,0.0007101534283719957
real,train,train,0.5,line-search-FBHF,10,4526,0.00016859326569829136
real,train,train,0.5,line-search-FBHF,11,4526,0.0010036799358204007
real,train,train,0.5,line-search-FBHF,12,4526,6.565025978488848e-05
real,train,train,0.5,line-search-FBHF,13,4526,0.0010260213166475296
real,train,train,0.5,line-search-FBHF,14,4526,2.4576216674176976e-05
real,train,train,0.5,line-search-FBHF,15,4526,0.0004973479080945253
real,train,train,0.5,line-search-FBHF,16,4526,0.0007953797467052937
real,train,train,0.5,line-search-FBHF,17,4526,6.052573735360056e-05
real,train,train,0.5,line-search-FBHF,18,4526,0.0007858463213779032
real,train,train,0.5,line-search-FBHF,19,4526,0.003089679405093193
real,train,train,0.5,line-search-FBHF,20,4526,8.652811811771244e-05
real,train,train,0.5,line-search-FBHF,21,4526,0.0033331080339848995
real,train,train,0.5,line-search-FBHF,22,4526,0.0007335463305935264
real,train,train,0.5,line-search-FBHF,23,4526,8.041472756303847e-05
real,train,train,0.5,line-search-FBHF,24,4526,0.0004000448971055448
real,train,train,0.5,line-search-FBHF,25,4526,0.0009050613734871149
real,train,train,0.5,line-search-FBHF,26,4526,0.0029180641286075115
real,train,train,0.5,line-search-FBHF,27,4526,0.00013025646330788732
real,train,train,0.5,line-search-FBHF,28,4526,0.00015951532986946404
real,train,train,0.5,line-search-FBHF,29,4526,0.0006849936326034367
real,train,train,0.5,line-search-FBHF,30,4526,0.0005186990601941943
real,train,train,0.5,line-search-FBHF,31,4526,3.9172406104626134e-05
real,train,train,0.5,line-search-FBHF,32,4526,0.0005038261297158897
real,train,train,0.5,line-search-FBHF,33,4526,0.0001229929184773937
real,train,train,0.5,line-search-FBHF,34,4526,0.0017717930022627115
real,train,train,0.5,line-search-FBHF,35,4526,2.7450403649709187e-05
real,train,train,0.5,line-search-FBHF,36,4526,6.477243732661009e-05
real,train,train,0.5,line-search-FBHF,37,4526,0.00038155834772624075
real,train,train,0.5,line-search-FBHF,38,4526,3.9554255636176094e-05
real,train,train,0.5,line-search-FBHF,39,4526,1.1657260984065942e-05
real,train,train,0.5,line-search-FBHF,40,4526,0.00011716359585989267
real,train,train,0.5,line-search-FBHF,41,4526,2.94742585538188e-05
real,train,train,0.5,line-search-FBHF,42,4526,0.002736937953159213
real,train,train,0.5,line-search-FBHF,43,4526,0.0002943115832749754
real,train,train,0.5,line-search-FBHF,44,4526,0.001487978151999414
real,train,train,0.5,line-search-FBHF,45,4526,0.0009107773657888174
real,train,train,0.5,line-search-FBHF,46,4526,0.0017091712215915322
real,train,train,0.5,line-search-FBHF,47,4526,8.03653965704143e-05
real,train,train,0.5,line-search-FBHF,48,4526,0.00031202149693854153
real,train,train,0.5,line-search-FBHF,49,4526,0.00011340848141117021
real,train,train,0.5,line-search-FBHF,50,4526,0.0017283246852457523
real,train,train,0.5,line-search-FBHF,51,4526,0.0020229474175721407
real,train,train,0.5,line-search-FBHF,52,4526,0.003107671858742833
real,train,train,0.5,line-search-FBHF,53,4526,0.0009429552010260522
real,train,train,0.5,line-search-FBHF,54,4526,0.0006009392673149705
real,train,train,0.5,line-search-FBHF,55,4526,4.054862802149728e-05
real,train,train,0.5,line-search-FBHF,56,4526,0.0010735498508438468
real,train,train,0.5,line-search-FBHF,57,4526,0.003037849674001336
real,train,train,0.5,line-search-FBHF,58,4526,2.2621703465119936e-05
real,train,train,0.5,line-search-FBHF,59,4526,0.0003090602986048907
real,train,train,0.5,line-search-FBHF,60,4526,0.0002949053596239537
real,train,train,0.5,line-search-FBHF,61,4526,9.764268725120928e-06
real,train,train,0.5,line-search-FBHF,62,4526,0.001896573812700808
real,train,train,0.5,line-search-FBHF,63,4526,0.00018280840595252812
real,train,train,0.5,fixed-precond,0,4000,0.0001929273857967928
real,train,train,0.5,fixed-precond,1,4000,0.0002949025365523994
real,train,train,0.5,fixed-precond,2,4000,8.261256152763963e-05
real,train,train,0.5,fixed-precond,3,4000,0.00011202660971321166
real,train,train,0.5,fixed-precond,4,4000,9.27906803553924e-05
real,train,train,0.5,fixed-precond,5,4000,0.00025496463058516383
real,train,train,0.5,fixed-precond,6,4000,0.0004682870930992067
real,train,train,0.5,fixed-precond,7,4000,0.00022147587151266634
real,train,train,0.5,fixed-precond,8,4000,0.00014883140102028847
real,train,train,0.5,fixed-precond,9,4000,0.000205249511054717
real,train,train,0.5,fixed-precond,10,4000,0.00011521217675181106
real,train,train,0.5,fixed-precond,11,4000,0.00023478188086301088
real,train,train,0.5,fixed-precond,12,4000,0.00024945681798271835
real,train,train,0.5,fixed-precond,13,4000,0.0001545388367958367
real,train,train,0.5,fixed-precond,14,4000,0.0004248294862918556
real,train,train,0.5,fixed-precond,15,4000,0.00011846705456264317
real,train,train,0.5,fixed-precond,16,4000,0.0001951387239387259
real,train,train,0.5,fixed-precond,17,4000,0.00017353595467284322
real,train,train,0.5,fixed-precond,18,4000,0.00030035412055440247
real,train,train,0.5,fixed-precond,19,4000,0.000356796954292804
real,train,train,0.5,fixed-precond,20,4000,0.00011858463403768837
real,train,train,0.5,fixed-precond,21,4000,0.00034143528318963945
real,train,train,0.5,fixed-precond,22,4000,0.0003408632765058428
real,train,train,0.5,fixed-precond,23,4000,0.00017125076556112617
real,train,train,0.5,fixed-precond,24,4000,0.00024996514548547566
real,train,train,0.5,fixed-precond,25,4000,0.00015136525325942785
real,train,train,0.5,fixed-precond,26,4000,0.00042469604522921145
real,train,train,0.5,fixed-precond,27,4000,0.00037302172859199345
real,train,train,0.5,fixed-precond,28,4000,0.0006242779199965298
real,train,train,0.5,fixed-precond,29,4000,0.0007651879568584263
real,train,train,0.5,fixed-precond,30,4000,0.00018397362146060914
real,train,train,0.5,fixed-precond,31,4000,0.00019646210421342403
real,train,train,0.5,fixed-precond,32,4000,0.00037414702819660306
real,train,train,0.5,fixed-precond,33,4000,0.00020343968935776502
real,train,train,0.5,fixed-precond,34,4000,0.00015453014930244535
real,train,train,0.5,fixed-precond,35,4000,0.00015824871661607176
real,train,train,0.5,fixed-precond,36,4000,0.0003764543798752129
real,train,train,0.5,fixed-precond,37,4000,0.00023044290719553828
real,train,train,0.5,fixed-precond,38,4000,0.0001773354597389698
real,train,train,0.5,fixed-precond,39,4000,0.00027436341042630374
real,train,train,0.5,fixed-precond,40,4000,7.48962556826882e-05
real,train,train,0.5,fixed-precond,41,4000,0.00040801422437652946
real,train,train,0.5,fixed-precond,42,4000,0.00028912824927829206
real,train,train,0.5,fixed-precond,43,4000,0.00011705571523634717
real,train,train,0.5,fixed-precond,44,4000,0.00021530638332478702
real,train,train,0.5,fixed-precond,45,4000,0.0002248249511467293
real,train,train,0.5,fixed-precond,46,4000,0.0005730252014473081
real,train,train,0.5,fixed-precond,47,4000,0.00014050956815481186
real,train,train,0.5,fixed-precond,48,4000,9.960769966710359e-05
real,train,train,0.5,fixed-precond,49,4000,0.00013800212764181197
real,train,train,0.5,fixed-precond,50,4000,0.00030386491562239826
real,train,train,0.5,fixed-precond,51,4000,0.00021975298295728862
real,train,train,0.5,fixed-precond,52,4000,0.00017454635235480964
real,train,train,0.5,fixed-precond,53,4000,0.00016506953397765756
real,train,train,0.5,fixed-precond,54,4000,0.00013296978431753814
real,train,train,0.5,fixed-precond,55,4000,0.0005175425903871655
real,train,train,0.5,fixed-precond,56,4000,0.00015878333942964673
real,train,train,0.5,fixed-precond,57,4000,0.0001997335784835741
real,train,train,0.5,fixed-precond,58,4000,0.0004034246376249939
real,train,train,0.5,fixed-precond,59,4000,0.00013624057464767247
real,train,train,0.5,fixed-precond,60,4000,0.00047360570169985294
real,train,train,0.5,fixed-precond,61,4000,0.00014095201913733035
real,train,train,0.5,fixed-precond,62,4000,0.00022925756638869643
real,train,train,0.5,fixed-precond,63,4000,0.00010102870146511123
real,train,train,0.5,learned-warped-bv-c0.5,0,4000,0.00014549572370015085
real,train,train,0.5,learned-warped-bv-c0.5,1,4000,0.00011884426203323528
real,train,train,0.5,learned-warped-bv-c0.5,2,4000,7.893874862929806e-05
real,train,train,0.5,learned-warped-bv-c0.5,3,4000,6.02837790211197e-05
real,train,train,0.5,learned-warped-bv-c0.5,4,4000,5.0447713874746114e-05
real,train,train,0.5,learned-warped-bv-c0.5,5,4000,0.00012434611562639475
real,train,train,0.5,learned-warped-bv-c0.5,6,4000,0.00023958303791005164
real,train,train,0.5,learned-warped-bv-c0.5,7,4000,0.00020393090380821377
real,train,train,0.5,learned-warped-bv-c0.5,8,4000,7.791387179167941e-05
real,train,train,0.5,learned-warped-bv-c0.5,9,4000,0.00010038561595138162
real,train,train,0.5,learned-warped-bv-c0.5,10,4000,6.167421815916896e-05
real,train,train,0.5,learned-warped-bv-c0.5,11,4000,0.00014215035480447114
real,train,train,0.5,learned-warped-bv-c0.5,12,4000,0.0001149722738773562
real,train,train,0.5,learned-warped-bv-c0.5,13,4000,8.160938159562647e-05
real,train,train,0.5,learned-warped-bv-c0.5,14,4000,0.00019309972412884235
real,train,train,0.5,learned-warped-bv-c0.5,15,4000,0.00014348028344102204
real,train,train,0.5,learned-warped-bv-c0.5,16,4000,0.00010887299140449613
real,train,train,0.5,learned-warped-bv-c0.5,17,4000,7.675131928408518e-05
real,train,train,0.5,learned-warped-bv-c0.5,18,4000,0.0001766206551110372
real,train,train,0.5,learned-warped-bv-c0.5,19,4000,0.00018578965682536364
real,train,train,0.5,learned-warped-bv-c0.5,20,4000,6.395769742084667e-05
real,train,train,0.5,learned-warped-bv-c0.5,21,4000,0.00019877630984410644
real,train,train,0.5,learned-warped-bv-c0.5,22,4000,0.0002849391894415021
real,train,train,0.5,learned-warped-bv-c0.5,23,4000,8.327221439685673e-05
real,train,train,0.5,learned-warped-bv-c0.5,24,4000,9.970442624762654e-05
real,train,train,0.5,learned-warped-bv-c0.5,25,4000,9.350125037599355e-05
real,train,train,0.5,learned-warped-bv-c0.5,26,4000,0.0004408408422023058
real,train,train,0.5,learned-warped-bv-c0.5,27,4000,0.00015754764899611473
real,train,train,0.5,learned-warped-bv-c0.5,28,4000,0.0003527308290358633
real,train,train,0.5,learned-warped-bv-c0.5,29,4000,0.00041148916352540255
real,train,train,0.5,learned-warped-bv-c0.5,30,4000,7.634219946339726e-05
real,train,train,0.5,learned-warped-bv-c0.5,31,4000,9.536294965073466e-05
real,train,train,0.5,learned-warped-bv-c0.5,32,4000,0.00021179646137170494
real,train,train,0.5,learned-warped-bv-c0.5,33,4000,9.561323531670496e-05
real,train,train,0.5,learned-warped-bv-c0.5,34,4000,8.39100539451465e-05
real,train,train,0.5,learned-warped-bv-c0.5,35,4000,7.614457717863843e-05
real,train,train,0.5,learned-warped-bv-c0.5,36,4000,0.00021675655443686992
real,train,train,0.5,learned-warped-bv-c0.5,37,4000,0.0001467258553020656
real,train,train,0.5,learned-warped-bv-c0.5,38,4000,7.216058293124661e-05
real,train,train,0.5,learned-warped-bv-c0.5,39,4000,0.0001441565837012604
real,train,train,0.5,learned-warped-bv-c0.5,40,4000,3.884549005306326e-05
real,train,train,0.5,learned-warped-bv-c0.5,41,4000,0.00021043788001406938
real,train,train,0.5,learned-warped-bv-c0.5,42,4000,0.0002863270347006619
real,train,train,0.5,learned-warped-bv-c0.5,43,4000,6.802891584811732e-05
real,train,train,0.5,learned-warped-bv-c0.5,44,4000,0.00010696969548007473
real,train,train,0.5,learned-warped-bv-c0.5,45,4000,0.0001270575448870659
real,train,train,0.5,learned-warped-bv-c0.5,46,4000,0.00035406043753027916
real,train,train,0.5,learned-warped-bv-c0.5,47,4000,5.9934231103397906e-05
real,train,train,0.5,learned-warped-bv-c0.5,48,4000,5.118672925163992e-05
real,train,train,0.5,learned-warped-bv-c0.5,49,4000,5.820795558975078e-05
real,train,train,0.5,learned-warped-bv-c0.5,50,4000,0.00015915803669486195
real,train,train,0.5,learned-warped-bv-c0.5,51,4000,0.0001315384724875912
real,train,train,0.5,learned-warped-bv-c0.5,52,4000,8.928197348723188e-05
real,train,train,0.5,learned-warped-bv-c0.5,53,4000,5.412937389337458e-05
real,train,train,0.5,learned-warped-bv-c0.5,54,4000,5.305622107698582e-05
real,train,train,0.5,learned-warped-bv-c0.5,55,4000,0.00023387724650092423
real,train,train,0.5,learned-warped-bv-c0.5,56,4000,8.344255184056237e-05
real,train,train,0.5,learned-warped-bv-c0.5,57,4000,0.00021037779515609145
real,train,train,0.5,learned-warped-bv-c0.5,58,4000,0.00016631292237434536
real,train,train,0.5,learned-warped-bv-c0.5,59,4000,6.781112460885197e-05
real,train,train,0.5,learned-warped-bv-c0.5,60,4000,0.00024190483964048326
real,train,train,0.5,learned-warped-bv-c0.5,61,4000,6.683418177999556e-05
real,train,train,0.5,learned-warped-bv-c0.5,62,4000,0.00018764448759611696
real,train,train,0.5,learned-warped-bv-c0.5,63,4000,5.202931060921401e-05
real,train,train,0.5,learned-warped-opcap-c0.5,0,4000,0.00014549572370015085
real,train,train,0.5,learned-warped-opcap-c0.5,1,4000,0.00011884426203323528
real,train,train,0.5,learned-warped-opcap-c0.5,2,4000,7.893874862929806e-05
real,train,train,0.5,learned-warped-opcap-c0.5,3,4000,6.02837790211197e-05
real,train,train,0.5,learned-warped-opcap-c0.5,4,4000,5.0447713874746114e-05
real,train,train,0.5,learned-warped-opcap-c0.5,5,4000,0.00012434611562639475
real,train,train,0.5,learned-warped-opcap-c0.5,6,4000,0.00023958303791005164
real,train,train,0.5,learned-warped-opcap-c0.5,7,4000,0.00020393090380821377
real,train,train,0.5,learned-warped-opcap-c0.5,8,4000,7.791387179167941e-05
real,train,train,0.5,learned-warped-opcap-c0.5,9,4000,0.00010038561595138162
real,train,train,0.5,learned-warped-opcap-c0.5,10,4000,6.167421815916896e-05
real,train,train,0.5,learned-warped-opcap-c0.5,11,4000,0.00014215035480447114
real,train,train,0.5,learned-warped-opcap-c0.5,12,4000,0.0001149722738773562
real,train,train,0.5,learned-warped-opcap-c0.5,13,4000,8.160938159562647e-05
real,train,train,0.5,learned-warped-opcap-c0.5,14,4000,0.00019309972412884235
real,train,train,0.5,learned-warped-opcap-c0.5,15,4000,0.00014348028344102204
real,train,train,0.5,learned-warped-opcap-c0.5,16,4000,0.00010887299140449613
real,train,train,0.5,learned-warped-opcap-c0.5,17,4000,7.675131928408518e-05
real,train,train,0.5,learned-warped-opcap-c0.5,18,4000,0.0001766206551110372
real,train,train,0.5,learned-warped-opcap-c0.5,19,4000,0.00018578965682536364
real,train,train,0.5,learned-warped-opcap-c0.5,20,4000,6.395769742084667e-05
real,train,train,0.5,learned-warped-opcap-c0.5,21,4000,0.00019877630984410644
real,train,train,0.5,learned-warped-opcap-c0.5,22,4000,0.0002849391894415021
real,train,train,0.5,learned-warped-opcap-c0.5,23,4000,8.327221439685673e-05
real,train,train,0.5,learned-warped-opcap-c0.5,24,4000,9.970442624762654e-05
real,train,train,0.5,learned-warped-opcap-c0.5,25,4000,9.350125037599355e-05
real,train,train,0.5,learned-warped-opcap-c0.5,26,4000,0.0004408408422023058
real,train,train,0.5,learned-warped-opcap-c0.5,27,4000,0.00015754764899611473
real,train,train,0.5,learned-warped-opcap-c0.5,28,4000,0.0003527308290358633
real,train,train,0.5,learned-warped-opcap-c0.5,29,4000,0.00041148916352540255
real,train,train,0.5,learned-warped-opcap-c0.5,30,4000,7.634219946339726e-05
real,train,train,0.5,learned-warped-opcap-c0.5,31,4000,9.536294965073466e-05
real,train,train,0.5,learned-warped-opcap-c0.5,32,4000,0.00021179646137170494
real,train,train,0.5,learned-warped-opcap-c0.5,33,4000,9.561323531670496e-05
real,train,train,0.5,learned-warped-opcap-c0.5,34,4000,8.39100539451465e-05
real,train,train,0.5,learned-warped-opcap-c0.5,35,4000,7.614457717863843e-05
real,train,train,0.5,learned-warped-opcap-c0.5,36,4000,0.00021675655443686992
real,train,train,0.5,learned-warped-opcap-c0.5,37,4000,0.0001467258553020656
real,train,train,0.5,learned-warped-opcap-c0.5,38,4000,7.216058293124661e-05
real,train,train,0.5,learned-warped-opcap-c0.5,39,4000,0.0001441565837012604
real,train,train,0.5,learned-warped-opcap-c0.5,40,4000,3.884549005306326e-05
real,train,train,0.5,learned-warped-opcap-c0.5,41,4000,0.00021043788001406938
real,train,train,0.5,learned-warped-opcap-c0.5,42,4000,0.0002863270347006619
real,train,train,0.5,learned-warped-opcap-c0.5,43,4000,6.802891584811732e-05
real,train,train,0.5,learned-warped-opcap-c0.5,44,4000,0.00010696969548007473
real,train,train,0.5,learned-warped-opcap-c0.5,45,4000,0.0001270575448870659
real,train,train,0.5,learned-warped-opcap-c0.5,46,4000,0.00035406043753027916
real,train,train,0.5,learned-warped-opcap-c0.5,47,4000,5.9934231103397906e-05
real,train,train,0.5,learned-warped-opcap-c0.5,48,4000,5.118672925163992e-05
real,train,train,0.5,learned-warped-opcap-c0.5,49,4000,5.820795558975078e-05
real,train,train,0.5,learned-warped-opcap-c0.5,50,4000,0.00015915803669486195
real,train,train,0.5,learned-warped-opcap-c0.5,51,4000,0.0001315384724875912
real,train,train,0.5,learned-warped-opcap-c0.5,52,4000,8.928197348723188e-05
real,train,train,0.5,learned-warped-opcap-c0.5,53,4000,5.412937389337458e-05
real,train,train,0.5,learned-warped-opcap-c0.5,54,4000,5.305622107698582e-05
real,train,train,0.5,learned-warped-opcap-c0.5,55,4000,0.00023387724650092423
real,train,train,0.5,learned-warped-opcap-c0.5,56,4000,8.344255184056237e-05
real,train,train,0.5,learned-warped-opcap-c0.5,57,4000,0.00021037779515609145
real,train,train,0.5,learned-warped-opcap-c0.5,58,4000,0.00016631292237434536
real,train,train,0.5,learned-warped-opcap-c0.5,59,4000,6.781112460885197e-05
real,train,train,0.5,learned-warped-opcap-c0.5,60,4000,0.00024190483964048326
real,train,train,0.5,learned-warped-opcap-c0.5,61,4000,6.683418177999556e-05
real,train,train,0.5,learned-warped-opcap-c0.5,62,4000,0.00018764448759611696
real,train,train,0.5,learned-warped-opcap-c0.5,63,4000,5.202931060921401e-05
