data,blur,noise,image_index,fbhf_vs_pdhg_ref_rel_gap,fbhf_minus_pdhg_obj
real,train,train,0,9.278240759158507e-05,3.24249267578125e-05
real,train,train,1,4.874521619058214e-05,3.62396240234375e-05
real,train,train,2,8.155817340593785e-05,1.6689300537109375e-05
real,train,train,3,1.9702836652868427e-05,2.956390380859375e-05
real,train,train,4,9.664508979767561e-06,1.9073486328125e-05
real,train,train,5,2.9169041226850823e-05,2.47955322265625e-05
real,train,train,6,1.8955704945256002e-05,3.814697265625e-05
real,train,train,7,0.0009080810705199838,2.6702880859375e-05
real,train,train,8,1.8001006537815556e-05,2.574920654296875e-05
real,train,train,9,0.00011882123362738639,2.86102294921875e-05
real,train,train,10,4.331846866989508e-05,2.47955322265625e-05
real,train,train,11,0.00022340903524309397,3.0040740966796875e-05
real,train,train,12,2.8639575248234905e-05,3.719329833984375e-05
real,train,train,13,0.00014544084842782468,3.0994415283203125e-05
real,train,train,14,2.4692202714504674e-05,6.151199340820312e-05
real,train,train,15,0.0001344843185506761,1.621246337890625e-05
real,train,train,16,8.168732892954722e-05,2.47955322265625e-05
real,train,train,17,1.3305952052178327e-05,2.6226043701171875e-05
real,train,train,18,0.0003144092333968729,2.7179718017578125e-05
real,train,train,19,0.0020389084238559008,6.866455078125e-05
real,train,train,20,1.5247427654685453e-05,2.47955322265625e-05
real,train,train,21,0.0005173232639208436,2.09808349609375e-05
real,train,train,22,2.9333887141547166e-05,3.6716461181640625e-05
real,train,train,23,4.573095066007227e-05,3.24249267578125e-05
real,train,train,24,2.5216952053597197e-05,2.765655517578125e-05
real,train,train,25,0.0005218711448833346,1.33514404296875e-05
real,train,train,26,0.0007975714397616684,4.00543212890625e-05
real,train,train,27,1.8782999177346937e-05,3.4332275390625e-05
real,train,train,28,0.00034167259582318366,4.3392181396484375e-05
real,train,train,29,9.048214997164905e-05,2.8133392333984375e-05
real,train,train,30,2.441308788547758e-05,3.62396240234375e-05
real,train,train,31,2.2099311536294408e-05,3.2901763916015625e-05
real,train,train,32,7.370412640739232e-05,2.956390380859375e-05
real,train,train,33,1.4343127986649051e-05,2.09808349609375e-05
real,train,train,34,0.00021483894670382142,3.0517578125e-05
real,train,train,35,1.4923019989510067e-05,2.384185791015625e-05
real,train,train,36,2.7659867555485107e-05,3.4332275390625e-05
real,train,train,37,0.00011636764247668907,3.4332275390625e-05
real,train,train,38,2.6347724997322075e-05,2.765655517578125e-05
real,train,train,39,1.7992699213209562e-05,3.337860107421875e-05
real,train,train,40,8.47084720589919e-06,1.52587890625e-05
real,train,train,41,3.143214780720882e-05,4.38690185546875e-05
real,train,train,42,0.00044150775647722185,2.86102294921875e-05
real,train,train,43,3.802301944233477e-05,2.002716064453125e-05
real,train,train,44,5.0472855946281925e-05,2.6702880859375e-05
real,train,train,45,2.9452145099639893e-05,2.574920654296875e-05
real,train,train,46,0.0023679547011852264,3.62396240234375e-05
real,train,train,47,1.3319821846380364e-05,2.86102294921875e-05
real,train,train,48,3.0431310733547434e-05,1.71661376953125e-05
real,train,train,49,7.061255928419996e-06,2.002716064453125e-05
real,train,train,50,0.0002558031992521137,3.4332275390625e-05
real,train,train,51,0.0002624832559376955,1.9073486328125e-05
real,train,train,52,0.0001772353280102834,2.09808349609375e-05
real,train,train,53,0.0004652283969335258,2.002716064453125e-05
real,train,train,54,1.699504537100438e-05,1.811981201171875e-05
real,train,train,55,5.2606617828132585e-05,4.9114227294921875e-05
real,train,train,56,5.9214238717686385e-05,2.1457672119140625e-05
real,train,train,57,0.00017871675663627684,2.384185791015625e-05
real,train,train,58,4.394182178657502e-05,4.601478576660156e-05
real,train,train,59,1.4998715414549224e-05,2.193450927734375e-05
real,train,train,60,3.1793439120519906e-05,4.112720489501953e-05
real,train,train,61,1.6404252164647914e-05,4.00543212890625e-05
real,train,train,62,0.0003414673847146332,2.384185791015625e-05
real,train,train,63,1.1120438102807384e-05,1.1444091796875e-05
synthetic,train,train,0,6.355796358548105e-05,3.4332275390625e-05
synthetic,train,train,1,0.00016137814964167774,7.2479248046875e-05
synthetic,train,train,2,0.002416327828541398,0.00025272369384765625
synthetic,train,train,3,0.0003025311743840575,0.0001506805419921875
synthetic,train,train,4,0.00026742854970507324,0.0001239776611328125
synthetic,train,train,5,0.0022628840524703264,0.00013256072998046875
synthetic,train,train,6,0.0001968702272279188,0.0004200935363769531
synthetic,train,train,7,0.00020556163508445024,0.0001087188720703125
synthetic,train,train,8,0.0013080871431156993,9.72747802734375e-05
synthetic,train,train,9,0.00021808120072819293,0.0001125335693359375
synthetic,train,train,10,0.0019635504577308893,0.0001544952392578125
synthetic,train,train,11,0.0015658304328098893,0.0006048679351806641
synthetic,train,train,12,0.00018180126789957285,0.0001220703125
synthetic,train,train,13,0.00014091478078626096,0.0001544952392578125
synthetic,train,train,14,0.0007734717219136655,5.7220458984375e-05
synthetic,train,train,15,0.0014156727120280266,0.0001735687255859375
synthetic,train,train,16,0.00019457569578662515,0.0001392364501953125
synthetic,train,train,17,0.0008266253280453384,0.0001735687255859375
synthetic,train,train,18,0.0001726901246001944,8.20159912109375e-05
synthetic,train,train,19,0.002785101067274809,0.0002779960632324219
