data,method,image_index,oracle_K,rel_primal_error_K
source-test,plain-FBHF,0,4000,0.0012024055467918515
source-test,plain-FBHF,1,4000,0.0030982980970293283
source-test,plain-FBHF,2,4000,0.001223009079694748
source-test,plain-FBHF,3,4000,0.0009590990375727415
source-test,plain-FBHF,4,4000,0.0017089713364839554
source-test,plain-FBHF,5,4000,0.0016111023724079132
source-test,plain-FBHF,6,4000,0.0006119646714068949
source-test,plain-FBHF,7,4000,0.000503089337144047
source-test,plain-FBHF,8,4000,0.0015480563743039966
source-test,plain-FBHF,9,4000,0.0005646320059895515
source-test,plain-FBHF,10,4000,0.0005009911837987602
source-test,plain-FBHF,11,4000,0.000835544487927109
source-test,plain-FBHF,12,4000,0.00017243361799046397
source-test,plain-FBHF,13,4000,0.00029173181974329054
source-test,plain-FBHF,14,4000,0.0018295643385499716
source-test,plain-FBHF,15,4000,0.0007091733859851956
source-test,plain-FBHF,16,4000,0.001170198549516499
source-test,plain-FBHF,17,4000,0.0017534159123897552
source-test,plain-FBHF,18,4000,0.0002969423367176205
source-test,plain-FBHF,19,4000,0.00033026206074282527
source-test,plain-FBHF,20,4000,0.00018872403597924858
source-test,plain-FBHF,21,4000,0.001240429119206965
source-test,plain-FBHF,22,4000,0.00020326513913460076
source-test,plain-FBHF,23,4000,0.0013614826602861285
source-test,plain-FBHF,24,4000,0.0004728394851554185
source-test,plain-FBHF,25,4000,0.000569212599657476
source-test,plain-FBHF,26,4000,0.0024763355031609535
source-test,plain-FBHF,27,4000,0.00016588075959589332
source-test,plain-FBHF,28,4000,0.00030041488935239613
source-test,plain-FBHF,29,4000,0.00038854582817293704
source-test,plain-FBHF,30,4000,0.00011802158405771479
source-test,plain-FBHF,31,4000,0.00021758198272436857
source-test,plain-FBHF,32,4000,0.0031582911033183336
source-test,plain-FBHF,33,4000,0.0007599203381687403
source-test,plain-FBHF,34,4000,0.0014700109604746103
source-test,plain-FBHF,35,4000,0.001024848548695445
source-test,plain-FBHF,36,4000,0.0007107416749931872
source-test,plain-FBHF,37,4000,0.00013212552585173398
source-test,plain-FBHF,38,4000,0.000728372426237911
source-test,plain-FBHF,39,4000,0.0009151009726338089
source-test,plain-FBHF,40,4000,0.00037380994763225317
source-test,plain-FBHF,41,4000,0.0013694651424884796
source-test,plain-FBHF,42,4000,0.0005619248258881271
source-test,plain-FBHF,43,4000,0.00022417753643821925
source-test,plain-FBHF,44,4000,0.0010641220724210143
source-test,plain-FBHF,45,4000,0.003156710183247924
source-test,plain-FBHF,46,4000,0.0003575313021428883
source-test,plain-FBHF,47,4000,0.0009006556356325746
source-test,plain-FBHF,48,4000,0.00016411680553574115
source-test,plain-FBHF,49,4000,0.0013803653419017792
source-test,plain-FBHF,50,4000,0.00029640927095897496
source-test,plain-FBHF,51,4000,0.001306283287703991
source-test,plain-FBHF,52,4000,0.0005230982787907124
source-test,plain-FBHF,53,4000,0.0017118334071710706
source-test,plain-FBHF,54,4000,0.0003507284272927791
source-test,plain-FBHF,55,4000,0.000776235421653837
source-test,plain-FBHF,56,4000,0.00038202101131901145
source-test,plain-FBHF,57,4000,0.00043543262290768325
source-test,plain-FBHF,58,4000,0.0005110087804496288
source-test,plain-FBHF,59,4000,0.0008421505335718393
source-test,plain-FBHF,60,4000,0.00012090236123185605
source-test,plain-FBHF,61,4000,0.000630004215054214
source-test,plain-FBHF,62,4000,0.0012028772616758943
source-test,plain-FBHF,63,4000,0.0004189999308437109
source-test,Halpern-anchored-FBHF,0,4000,0.005682067014276981
source-test,Halpern-anchored-FBHF,1,4000,0.007741733454167843
source-test,Halpern-anchored-FBHF,2,4000,0.005969899706542492
source-test,Halpern-anchored-FBHF,3,4000,0.004643418826162815
