alpha,tau_factor,tau,s,err_K_mean,diverged,prox,B,C,network,backtracks
0.1,0.4,0.12996614652269506,0.05,0.0027476162872517307,False,1000,2000,1000,0,0
0.1,0.4,0.12996614652269506,0.1,0.002739005663443095,False,1000,2000,1000,0,0
0.1,0.6,0.19494921978404256,0.05,0.0016084478393167956,False,1000,2000,1000,0,0
0.1,0.6,0.19494921978404256,0.1,0.0015681834747738321,False,1000,2000,1000,0,0
0.1,0.8,0.2599322930453901,0.05,0.001137820818257751,False,1000,2000,1000,0,0
0.1,0.8,0.2599322930453901,0.1,0.0010664445180736948,False,1000,2000,1000,0,0
0.1,0.95,0.3086695979914007,0.05,0.0009508056919003138,False,1000,2000,1000,0,0
0.1,0.95,0.3086695979914007,0.1,0.0008586783962982736,False,1000,2000,1000,0,0
0.2,0.4,0.12996614652269506,0.05,0.002340053871193959,False,1000,2000,1000,0,0
0.2,0.4,0.12996614652269506,0.1,0.0023319095694205316,False,1000,2000,1000,0,0
0.2,0.6,0.19494921978404256,0.05,0.001372822084249492,False,1000,2000,1000,0,0
0.2,0.6,0.19494921978404256,0.1,0.0013346275181902456,False,1000,2000,1000,0,0
0.2,0.8,0.2599322930453901,0.05,0.0009798928897453152,False,1000,2000,1000,0,0
0.2,0.8,0.2599322930453901,0.1,0.000912856798095163,False,1000,2000,1000,0,0
0.2,0.95,0.3086695979914007,0.05,0.0008210035921365488,False,1000,2000,1000,0,0
0.2,0.95,0.3086695979914007,0.1,0.0007380602939974779,False,1000,2000,1000,0,0
0.4,0.4,0.12996614652269506,0.05,0.02241088796290569,False,1000,2000,1000,0,0
0.4,0.4,0.12996614652269506,0.1,0.01565322553506121,False,1000,2000,1000,0,0
0.4,0.6,0.19494921978404256,0.05,0.02960917609743774,False,1000,2000,1000,0,0
0.4,0.6,0.19494921978404256,0.1,0.020035307374200784,False,1000,2000,1000,0,0
0.4,0.8,0.2599322930453901,0.05,0.0354142754804343,False,1000,2000,1000,0,0
0.4,0.8,0.2599322930453901,0.1,0.023782341595506296,False,1000,2000,1000,0,0
0.4,0.95,0.3086695979914007,0.05,0.039328112557996064,False,1000,2000,1000,0,0
0.4,0.95,0.3086695979914007,0.1,0.026091704261489213,False,1000,2000,1000,0,0
0.6,0.4,0.12996614652269506,0.05,0.058258213743101805,False,1000,2000,1000,0,0
0.6,0.4,0.12996614652269506,0.1,0.04125898037455045,False,1000,2000,1000,0,0
0.6,0.6,0.19494921978404256,0.05,0.07101652113487944,False,1000,2000,1000,0,0
0.6,0.6,0.19494921978404256,0.1,0.04828687012195587,False,1000,2000,1000,0,0
0.6,0.8,0.2599322930453901,0.05,0.08080540865194052,False,1000,2000,1000,0,0
0.6,0.8,0.2599322930453901,0.1,0.05322718172101304,False,1000,2000,1000,0,0
0.6,0.95,0.3086695979914007,0.05,0.08671996439807117,False,1000,2000,1000,0,0
0.6,0.95,0.3086695979914007,0.1,0.05618222622433677,False,1000,2000,1000,0,0
