data,method,image_index,oracle_K,rel_primal_error_K
source-test,plain-FBHF,0,4000,0.0012369492324069142
source-test,plain-FBHF,1,4000,0.0035436961334198713
source-test,plain-FBHF,2,4000,0.001226532505825162
source-test,plain-FBHF,3,4000,0.0009642490767873824
source-test,plain-FBHF,4,4000,0.0024920268915593624
source-test,plain-FBHF,5,4000,0.001646652352064848
source-test,plain-FBHF,6,4000,0.0006316971266642213
source-test,plain-FBHF,7,4000,0.0005408226861618459
source-test,plain-FBHF,8,4000,0.0033958491403609514
source-test,plain-FBHF,9,4000,0.0005754261510446668
source-test,plain-FBHF,10,4000,0.0005167493945918977
source-test,plain-FBHF,11,4000,0.0011208305368199944
source-test,plain-FBHF,12,4000,0.0001867841783678159
source-test,plain-FBHF,13,4000,0.00030523931491188705
source-test,plain-FBHF,14,4000,0.002218492329120636
source-test,plain-FBHF,15,4000,0.0007542863022536039
source-test,plain-FBHF,16,4000,0.0012257903581485152
source-test,plain-FBHF,17,4000,0.002069184323772788
source-test,plain-FBHF,18,4000,0.0003078098234254867
source-test,plain-FBHF,19,4000,0.00033387576695531607
source-test,plain-FBHF,20,4000,0.00019878109742421657
source-test,plain-FBHF,21,4000,0.0012875456595793366
source-test,plain-FBHF,22,4000,0.00020550382032524794
source-test,plain-FBHF,23,4000,0.0014292867854237556
source-test,plain-FBHF,24,4000,0.0006184474332258105
source-test,plain-FBHF,25,4000,0.0005725238006561995
source-test,plain-FBHF,26,4000,0.0026648202911019325
source-test,plain-FBHF,27,4000,0.0001791389804566279
source-test,plain-FBHF,28,4000,0.0003018145798705518
source-test,plain-FBHF,29,4000,0.0003953643317800015
source-test,plain-FBHF,30,4000,0.00012350614997558296
source-test,plain-FBHF,31,4000,0.00022155683836899698
source-test,plain-FBHF,32,4000,0.0031866435892879963
source-test,plain-FBHF,33,4000,0.0008006705902516842
source-test,plain-FBHF,34,4000,0.0017849012510851026
source-test,plain-FBHF,35,4000,0.0011454593623057008
source-test,plain-FBHF,36,4000,0.0007701826980337501
source-test,plain-FBHF,37,4000,0.0001419944892404601
source-test,plain-FBHF,38,4000,0.0007515156758017838
source-test,plain-FBHF,39,4000,0.0009234361932612956
source-test,plain-FBHF,40,4000,0.00039921316783875227
source-test,plain-FBHF,41,4000,0.0015682377852499485
source-test,plain-FBHF,42,4000,0.0005774652236141264
source-test,plain-FBHF,43,4000,0.00024792933254502714
source-test,plain-FBHF,44,4000,0.001156192272901535
source-test,plain-FBHF,45,4000,0.003308555344119668
source-test,plain-FBHF,46,4000,0.00037411932135000825
source-test,plain-FBHF,47,4000,0.0009149846155196428
