method,image_index,rel_primal_error_K,oracle_K
plain-FBHF,0,0.003854200942441821,4000
plain-FBHF,1,0.002144289668649435,4000
plain-FBHF,2,0.000122340046800673,4000
plain-FBHF,3,0.00019371848611626774,4000
plain-FBHF,4,0.0006466562626883388,4000
plain-FBHF,5,9.819287515711039e-05,4000
plain-FBHF,6,0.00013216864317655563,4000
plain-FBHF,7,0.00044542428804561496,4000
plain-FBHF,8,0.0015977949369698763,4000
plain-FBHF,9,0.0005181108135730028,4000
plain-FBHF,10,0.00046866864431649446,4000
plain-FBHF,11,0.0002659310994204134,4000
plain-FBHF,12,0.00016332822269760072,4000
plain-FBHF,13,0.0016138928476721048,4000
plain-FBHF,14,0.0009902698220685124,4000
plain-FBHF,15,0.00018674286548048258,4000
plain-FBHF,16,0.0011061556870117784,4000
plain-FBHF,17,0.00025309206102974713,4000
plain-FBHF,18,0.0007480758358724415,4000
plain-FBHF,19,0.00026319752214476466,4000
plain-FBHF,20,9.641094948165119e-05,4000
plain-FBHF,21,0.00019693092326633632,4000
plain-FBHF,22,7.191690383478999e-05,4000
plain-FBHF,23,0.00080949004041031,4000
plain-FBHF,24,8.151133806677535e-05,4000
plain-FBHF,25,0.0003950073732994497,4000
plain-FBHF,26,0.000902005354873836,4000
plain-FBHF,27,0.0003001371514983475,4000
plain-FBHF,28,0.0017427696147933602,4000
plain-FBHF,29,0.0006618201150558889,4000
plain-FBHF,30,0.0012113720877096057,4000
plain-FBHF,31,0.00028883686172775924,4000
plain-FBHF,32,0.00021635243319906294,4000
plain-FBHF,33,0.0013205156428739429,4000
plain-FBHF,34,0.0003484359185677022,4000
plain-FBHF,35,0.001327907550148666,4000
plain-FBHF,36,0.00015067037020344287,4000
plain-FBHF,37,0.00018268924031872302,4000
plain-FBHF,38,0.001271369168534875,4000
plain-FBHF,39,0.0006174325244501233,4000
plain-FBHF,40,0.0017092463094741106,4000
plain-FBHF,41,0.0013889479450881481,4000
