method,image_index,rel_primal_error_K,oracle_K
plain-FBHF,0,0.0037200257647782564,4000
plain-FBHF,1,0.0021401559934020042,4000
plain-FBHF,2,0.00010443107748869807,4000
plain-FBHF,3,0.0001892925938591361,4000
plain-FBHF,4,0.0006230500293895602,4000
plain-FBHF,5,9.038556891027838e-05,4000
plain-FBHF,6,0.00012158252502558753,4000
plain-FBHF,7,0.00043434699182398617,4000
plain-FBHF,8,0.0009610362467356026,4000
plain-FBHF,9,0.0005130472709424794,4000
plain-FBHF,10,0.00045342795783653855,4000
plain-FBHF,11,0.0002571254735812545,4000
plain-FBHF,12,0.00014173386443872005,4000
plain-FBHF,13,0.0014297651359811425,4000
plain-FBHF,14,0.0009851561626419425,4000
plain-FBHF,15,0.00017394294263795018,4000
plain-FBHF,16,0.0008394524338655174,4000
plain-FBHF,17,0.0002362044178880751,4000
plain-FBHF,18,0.0005375402979552746,4000
plain-FBHF,19,0.0002647844376042485,4000
plain-FBHF,20,9.3582842964679e-05,4000
plain-FBHF,21,0.0001856725284596905,4000
plain-FBHF,22,5.90401359659154e-05,4000
plain-FBHF,23,0.0007818959420546889,4000
plain-FBHF,24,6.891562225064263e-05,4000
plain-FBHF,25,0.00038765004137530923,4000
plain-FBHF,26,0.0006911967066116631,4000
plain-FBHF,27,0.00028314042720012367,4000
plain-FBHF,28,0.001527448184788227,4000
plain-FBHF,29,0.0006544268107973039,4000
plain-FBHF,30,0.0010912076104432344,4000
plain-FBHF,31,0.0002766610705293715,4000
plain-FBHF,32,0.00020067639707121998,4000
plain-FBHF,33,0.0012549853418022394,4000
plain-FBHF,34,0.0003453906101640314,4000
plain-FBHF,35,0.001257102470844984,4000
plain-FBHF,36,0.00014069475582800806,4000
plain-FBHF,37,0.00017627901979722083,4000
plain-FBHF,38,0.0012672616867348552,4000
plain-FBHF,39,0.00041763257468119264,4000
plain-FBHF,40,0.0015625976957380772,4000
plain-FBHF,41,0.001260856632143259,4000
plain-FBHF,42,0.0014006401179358363,4000
plain-FBHF,43,4.4668864575214684e-05,4000
plain-FBHF,44,0.0007867251988500357,4000
plain-FBHF,45,0.00021145780920051038,4000
plain-FBHF,46,0.0016056590247899294,4000
plain-FBHF,47,0.0002201007300755009,4000
plain-FBHF,48,9.259384387405589e-05,4000
plain-FBHF,49,0.0009540176251903176,4000
plain-FBHF,50,0.001591730979271233,4000
plain-FBHF,51,0.0012110641691833735,4000
plain-FBHF,52,0.0002861097455024719,4000
plain-FBHF,53,0.0006832153885625303,4000
plain-FBHF,54,0.000625568674877286,4000
plain-FBHF,55,0.00012755507486872375,4000
plain-FBHF,56,0.00045227690134197474,4000
plain-FBHF,57,0.0023252195678651333,4000
plain-FBHF,58,0.0011981285642832518,4000
plain-FBHF,59,0.0003001245204359293,4000
plain-FBHF,60,0.0006560857873409986,4000
plain-FBHF,61,0.0005283086793497205,4000
plain-FBHF,62,0.002494209911674261,4000
plain-FBHF,63,0.001283493940718472,4000
certified-fixed,0,0.0012702721869572997,4000
certified-fixed,1,0.00022288269246928394,4000
certified-fixed,2,9.878013224806637e-05,4000
certified-fixed,3,9.446650074096397e-05,4000
certified-fixed,4,0.0002573679084889591,4000
certified-fixed,5,7.259139238158241e-05,4000
certified-fixed,6,8.432288450421765e-05,4000
certified-fixed,7,0.00015324150444939733,4000
certified-fixed,8,0.0004413320275489241,4000
certified-fixed,9,0.00012928609794471413,4000
certified-fixed,10,0.0002468927705194801,4000
certified-fixed,11,0.00010088779526995495,4000
certified-fixed,12,0.00012581030023284256,4000
certified-fixed,13,0.0003207144618500024,4000
certified-fixed,14,0.0002299377811141312,4000
certified-fixed,15,0.0001071157748810947,4000
certified-fixed,16,0.0004545794799923897,4000
certified-fixed,17,0.00022422840993385762,4000
certified-fixed,18,0.00023776812304276973,4000
certified-fixed,19,8.017615618882701e-05,4000
certified-fixed,20,5.4543474107049406e-05,4000
certified-fixed,21,0.00015851222269702703,4000
certified-fixed,22,5.556890755542554e-05,4000
certified-fixed,23,0.0002090959023917094,4000
certified-fixed,24,6.559569737873971e-05,4000
certified-fixed,25,0.00011392254964448512,4000
certified-fixed,26,0.00023421199875883758,4000
certified-fixed,27,0.0002834233455359936,4000
certified-fixed,28,0.0006867042393423617,4000
certified-fixed,29,0.00015729265578556806,4000
certified-fixed,30,0.00035479545476846397,4000
certified-fixed,31,0.0001740322186378762,4000
certified-fixed,32,0.00019142490054946393,4000
certified-fixed,33,0.0005181955639272928,4000
certified-fixed,34,0.0001388978271279484,4000
certified-fixed,35,0.0005741362692788243,4000
certified-fixed,36,0.00011746530799428001,4000
certified-fixed,37,9.086872159969062e-05,4000
certified-fixed,38,0.00019807486387435347,4000
certified-fixed,39,0.00016167727881111205,4000
certified-fixed,40,0.0007299972930923104,4000
certified-fixed,41,0.0005606728373095393,4000
certified-fixed,42,0.0004145369748584926,4000
certified-fixed,43,4.21712793468032e-05,4000
certified-fixed,44,0.0004449408152140677,4000
certified-fixed,45,7.423591159749776e-05,4000
certified-fixed,46,0.0005876334616914392,4000
certified-fixed,47,0.00020689683151431382,4000
certified-fixed,48,7.931677100714296e-05,4000
certified-fixed,49,0.00038519795634783804,4000
certified-fixed,50,0.00040948233800008893,4000
certified-fixed,51,0.0005053689819760621,4000
certified-fixed,52,7.225367153296247e-05,4000
certified-fixed,53,0.0002483288699295372,4000
