data,blur,noise,method,image_index,rel_primal_error_K,oracle_K
real,train,low,plain-FBHF,0,0.0009237064514309168,4000
real,train,low,plain-FBHF,1,0.0006211190484464169,4000
real,train,low,plain-FBHF,2,0.0003828380140475929,4000
real,train,low,plain-FBHF,3,0.0005444096168503165,4000
real,train,low,plain-FBHF,4,9.715245687402785e-05,4000
real,train,low,plain-FBHF,5,0.0020203206222504377,4000
real,train,low,plain-FBHF,6,0.0003011874505318701,4000
real,train,low,plain-FBHF,7,0.002698190975934267,4000
real,train,low,plain-FBHF,8,0.00015457469271495938,4000
real,train,low,plain-FBHF,9,0.0007156553911045194,4000
real,train,low,plain-FBHF,10,0.000690778368152678,4000
real,train,low,plain-FBHF,11,0.001220048638060689,4000
real,train,low,plain-FBHF,12,0.0003680872905533761,4000
real,train,low,plain-FBHF,13,0.001065002754330635,4000
real,train,low,plain-FBHF,14,0.00028484256472438574,4000
real,train,low,plain-FBHF,15,0.000588078226428479,4000
real,train,low,plain-FBHF,16,0.0012996005825698376,4000
real,train,low,plain-FBHF,17,9.578563185641542e-05,4000
real,train,low,plain-FBHF,18,0.0012421458959579468,4000
real,train,low,plain-FBHF,19,0.004505799151957035,4000
real,train,low,plain-FBHF,20,0.00014476598880719393,4000
real,train,low,plain-FBHF,21,0.003803299041464925,4000
real,train,low,plain-FBHF,22,0.0004588495648931712,4000
real,train,low,plain-FBHF,23,0.0001166259462479502,4000
real,train,low,plain-FBHF,24,0.0010477654868736863,4000
real,train,low,plain-FBHF,25,0.0011588821653276682,4000
real,train,low,plain-FBHF,26,0.003988470882177353,4000
real,train,low,plain-FBHF,27,0.00030357128707692027,4000
real,train,low,plain-FBHF,28,0.00044530542800202966,4000
real,train,low,plain-FBHF,29,0.0008453558548353612,4000
real,train,low,plain-FBHF,30,0.0003751393232960254,4000
real,train,low,plain-FBHF,31,0.00017809376004152,4000
real,train,low,plain-FBHF,32,0.0009194393060170114,4000
real,train,low,plain-FBHF,33,0.0005150974611751735,4000
real,train,low,plain-FBHF,34,0.0014747148379683495,4000
real,train,low,plain-FBHF,35,0.00011148464545840397,4000
real,train,low,plain-FBHF,36,0.000308787653921172,4000
real,train,low,plain-FBHF,37,0.0005475943326018751,4000
real,train,low,plain-FBHF,38,0.00011850998998852447,4000
real,train,low,plain-FBHF,39,0.0002404008264420554,4000
real,train,low,plain-FBHF,40,0.00023741470067761838,4000
real,train,low,plain-FBHF,41,0.0003504540945868939,4000
real,train,low,plain-FBHF,42,0.00591579033061862,4000
real,train,low,plain-FBHF,43,0.0010660093976184726,4000
real,train,low,plain-FBHF,44,0.0017425043042749166,4000
real,train,low,plain-FBHF,45,0.0006235274486243725,4000
real,train,low,plain-FBHF,46,0.004242901690304279,4000
real,train,low,plain-FBHF,47,0.00020005126134492457,4000
real,train,low,plain-FBHF,48,0.0010623050620779395,4000
real,train,low,plain-FBHF,49,0.00036571521195583045,4000
real,train,low,plain-FBHF,50,0.0012611071579158306,4000
real,train,low,plain-FBHF,51,0.001973931910470128,4000
real,train,low,plain-FBHF,52,0.0031563383527100086,4000
real,train,low,plain-FBHF,53,0.0008411894668824971,4000
real,train,low,plain-FBHF,54,0.0009138195891864598,4000
real,train,low,plain-FBHF,55,0.0002582514425739646,4000
real,train,low,plain-FBHF,56,0.0011039177188649774,4000
