data,blur,noise,image_index,ref_self_gap_50k_100k,old_fbhf4000_gap_to_ref,last_pdhg_rel_step,fixed_minus_learned_absdiff,fixed_better_than_learned,learned_better_than_fixed,cv_better_than_learned,ref_steps,ref_time_s
real,train,low,0,1.7732038486428792e-06,5.8302768593421206e-05,4.362960837056562e-08,4.508133861236274e-05,0,1,1,100000,79.32913918420672
real,train,low,1,6.684118716293597e-07,3.596795068006031e-05,7.747055263962466e-08,0.00012078779400326312,0,1,1,100000,79.32913918420672
real,train,low,2,8.748475011088885e-07,0.00013005830987822264,5.650666423662187e-08,2.8810318326577544e-06,0,1,1,100000,79.32913918420672
real,train,low,3,5.951555408501008e-07,4.323336906963959e-05,5.098960542682107e-08,3.795175871346146e-05,0,1,1,100000,79.32913918420672
real,train,low,4,1.3527106830224511e-06,1.491491639171727e-05,1.041489881004054e-07,3.8765825593145564e-05,0,1,1,100000,79.32913918420672
real,train,low,5,1.3079232985546696e-06,0.00019128259737044573,4.804152098358827e-08,6.036125705577433e-05,0,1,1,100000,79.32913918420672
real,train,low,6,1.583572043273307e-06,4.632554919226095e-05,9.362527464418235e-08,0.0002585137262940407,0,1,1,100000,79.32913918420672
real,train,low,7,9.36465141876397e-07,0.0005494150100275874,5.9256748841107765e-08,0.0002346558030694723,0,1,0,100000,79.32913918420672
real,train,low,8,7.131718575692503e-07,2.786399818432983e-05,4.998904401531945e-08,7.93809667811729e-05,0,1,1,100000,79.32913918420672
real,train,low,9,1.3970477539260173e-06,3.1365118047688156e-05,5.417568260668304e-08,9.739988308865577e-05,0,1,1,100000,79.32913918420672
real,train,low,10,1.1218969575566007e-06,0.00010429550457047299,4.806775777410621e-08,6.130759720690548e-05,0,1,1,100000,79.32913918420672
real,train,low,11,3.4998406590602826e-06,0.0002661472244653851,5.436817573922781e-08,2.8456037398427725e-05,0,1,0,100000,79.32913918420672
real,train,low,12,1.457166490581585e-06,3.92358961107675e-05,6.772834382218207e-08,9.834622323978692e-05,0,1,1,100000,79.32913918420672
real,train,low,13,1.6919145764404675e-06,0.00017912263865582645,5.541674141795738e-08,5.1534356316551566e-05,0,1,1,100000,79.32913918420672
real,train,low,14,1.99988699023379e-06,5.8939891459885985e-05,5.034508987478148e-08,0.00021067154011689126,0,1,1,100000,79.32913918420672
real,train,low,15,7.477063945771079e-07,0.00013738757115788758,5.591507701296905e-08,2.6194931706413627e-05,0,1,1,100000,79.32913918420672
real,train,low,16,1.2438052863217308e-06,0.00025925820227712393,6.621246484428411e-08,7.77740788180381e-05,0,1,1,100000,79.32913918420672
real,train,low,17,1.0559278962318785e-06,1.938642526511103e-05,7.437193261239372e-08,8.822387462714687e-05,0,1,1,100000,79.32913918420672
real,train,low,18,7.814006153239461e-07,7.789089431753382e-05,4.895018435036036e-08,9.083992335945368e-05,0,1,1,100000,79.32913918420672
real,train,low,19,9.283484132538433e-07,0.00210524327121675,5.539793335174181e-08,0.00015740119852125645,0,1,0,100000,79.32913918420672
real,train,low,20,1.0218261650152272e-06,2.0421697627170943e-05,5.541574310541364e-08,7.789591472828761e-05,0,1,1,100000,79.32913918420672
real,train,low,21,1.814628490137693e-06,0.000788013159763068,1.0346863632548775e-07,0.000318386621074751,1,0,1,100000,79.32913918420672
real,train,low,22,1.6748649613873567e-06,2.743781078606844e-05,6.6279383759138e-08,0.00010216525697614998,0,1,1,100000,79.32913918420672
real,train,low,23,7.538632189607597e-07,2.433862755424343e-05,9.42816456017681e-08,8.335918391821906e-05,0,1,1,100000,79.32913918420672
real,train,low,24,2.110259856635821e-06,4.036533209728077e-05,5.53100711897514e-08,0.0001415928709320724,0,1,1,100000,79.32913918420672
real,train,low,25,9.795136293178075e-07,0.00012947668437846005,5.846645123597227e-08,1.5148951206356287e-05,0,1,1,100000,79.32913918420672
real,train,low,26,1.2903291235488723e-06,0.0018692758167162538,5.090078403213738e-08,0.00018369988538324833,0,1,0,100000,79.32913918420672
real,train,low,27,1.491381567575445e-06,3.1992345611797646e-05,6.239277183794911e-08,0.00018219402409158647,0,1,1,100000,79.32913918420672
real,train,low,28,1.9107053503830684e-06,9.288124419981614e-05,7.787621569832481e-08,0.00041726502240635455,0,1,1,100000,79.32913918420672
real,train,low,29,8.445279604529787e-07,8.457949297735468e-05,5.301625094489282e-08,0.0002922926505561918,0,1,1,100000,79.32913918420672
real,train,low,30,1.180137701339845e-06,2.810894147842191e-05,7.491409803606075e-08,7.871991692809388e-05,0,1,1,100000,79.32913918420672
real,train,low,31,1.2817037031709333e-06,3.720270251506008e-05,5.614122144947942e-08,0.00011728305253200233,0,1,1,100000,79.32913918420672
real,train,low,32,3.9255260730897135e-07,0.0003409030323382467,6.117303996688861e-08,5.077756941318512e-05,0,1,1,100000,79.32913918420672
real,train,low,33,1.8432155002301442e-06,4.0509668906452134e-05,5.397552982344678e-08,7.163356349337846e-05,0,1,1,100000,79.32913918420672
real,train,low,34,1.2016607797704637e-06,0.000370276189642027,7.673567381516477e-08,8.561508730053902e-05,1,0,1,100000,79.32913918420672
real,train,low,35,1.0126551615030621e-06,2.2210890165297315e-05,7.500462828602394e-08,5.809868889627978e-05,0,1,1,100000,79.32913918420672
real,train,low,36,1.0661379974408192e-06,3.4730845072772354e-05,9.186193494770123e-08,0.00020075737847946584,0,1,1,100000,79.32913918420672
real,train,low,37,9.273874184145825e-07,3.190043935319409e-05,7.33829352839166e-08,0.00019041217456106097,0,1,1,100000,79.32913918420672
real,train,low,38,6.328214681161626e-07,1.697829611657653e-05,1.5057096902637568e-07,8.178537973435596e-05,0,1,1,100000,79.32913918420672
real,train,low,39,5.482643246068619e-07,2.9715429263887927e-05,7.934777102036605e-08,0.00013910890265833586,0,1,1,100000,79.32913918420672
real,train,low,40,5.607924435935274e-07,4.136951611144468e-05,5.436707795070106e-08,1.8541642930358648e-05,0,1,1,100000,79.32913918420672
real,train,low,41,1.3355122518987628e-06,6.847464828751981e-05,1.074378914722729e-07,0.0002087548200506717,0,1,1,100000,79.32913918420672
real,train,low,42,7.942077218103805e-07,0.0025881286710500717,4.3349906775347335e-08,0.0004214242799207568,0,1,0,100000,79.32913918420672
