data,blur,noise,method,oracle_K,wall_time_K,err_K_mean,err_K_std,err_K_median,prox,B,C,network,backtracks
real,train,low,plain-FBHF,4000,1.2279605530202389,0.0010663102161743154,0.0012449982852012706,0.0006045986374374479,1000,2000,1000,0,0
real,train,low,line-search-FBHF,4526,1.6874478608369827,0.0010121760440711114,0.0012672998781454539,0.0005755108140874654,1263,2263,1000,0,263
real,train,low,fixed-precond,4000,1.2037030532956123,0.00037379725029040856,0.0003661752250302168,0.00025115081371041015,1000,2000,1000,0,0
real,train,low,learned-warped-bv,4000,6.492400407791138,0.000275028531461885,0.0003213205168293659,0.00017531163757666945,1000,2000,1000,1000,0
real,train,low,Condat-Vu/PDHG,3999,1.2122613452374935,0.0002598797854602708,0.00043993214162215403,0.00011566364992177114,1333,1333,1333,0,0
real,train,high,plain-FBHF,4000,1.2566039636731148,0.0008650275792660977,0.0012219618069413897,0.00038591316842939705,1000,2000,1000,0,0
real,train,high,line-search-FBHF,4526,1.7275674007833004,0.0008094131614200251,0.0012237226855633986,0.0003526118816807866,1263,2263,1000,0,263
real,train,high,fixed-precond,4000,1.2428817003965378,0.0002674679673191349,0.00019670985880820436,0.00019747933401959017,1000,2000,1000,0,0
real,train,high,learned-warped-bv,4000,6.378037631511688,0.00018654361065273406,0.00018350590613227882,0.00011796697435784154,1000,2000,1000,1000,0
real,train,high,Condat-Vu/PDHG,3999,1.21399762108922,0.00016796013824205147,0.00025785277517042154,8.551382416044362e-05,1333,1333,1333,0,0
real,wide,high,plain-FBHF,4000,1.2275792099535465,0.002655472356309474,0.002241932695326847,0.0019311503856442869,1000,2000,1000,0,0
real,wide,high,line-search-FBHF,4526,1.7149461060762405,0.0025972927070370133,0.002242563864256576,0.001871541200671345,1263,2263,1000,0,263
real,wide,high,fixed-precond,4000,1.2336202822625637,0.00047723814259370556,0.0003254889924137449,0.00038969928573351353,1000,2000,1000,0,0
real,wide,high,learned-warped-bv,4000,6.368571288883686,0.00036946650504887657,0.00033112769233335765,0.00025627962895669043,1000,2000,1000,1000,0
real,wide,high,Condat-Vu/PDHG,3999,1.2202178500592709,0.0003325743363689071,0.0003863133786614936,0.0002027857772191055,1333,1333,1333,0,0
real,0.75,high,plain-FBHF,4000,1.1980910375714302,7.622124897466165e-05,4.2416046089590906e-05,5.897770279261749e-05,1000,2000,1000,0,0
real,0.75,high,line-search-FBHF,4526,1.6927569508552551,2.119615245987916e-05,1.9051289225834916e-05,1.6520686585863587e-05,1263,2263,1000,0,263
real,0.75,high,fixed-precond,4000,1.196701679378748,0.00011234659962156002,6.0550355031061666e-05,9.001272701425478e-05,1000,2000,1000,0,0
real,0.75,high,learned-warped-bv,4000,6.357968524098396,6.240430801085495e-05,3.104872351812859e-05,5.198884173296392e-05,1000,2000,1000,1000,0
real,0.75,high,Condat-Vu/PDHG,3999,1.2186090685427189,3.95745279320181e-05,1.9327276793206173e-05,3.3426136724301614e-05,1333,1333,1333,0,0
real,motion,train,plain-FBHF,4000,1.2192013673484325,0.00036656001060464405,0.0003686327223120313,0.0002521625137887895,1000,2000,1000,0,0
real,motion,train,line-search-FBHF,4526,1.7004444152116776,0.0002575238916051603,0.0003413369791643767,0.00013604418927570805,1263,2263,1000,0,263
real,motion,train,fixed-precond,4000,1.1990138068795204,0.07156429607459813,0.09626861457279137,0.00020248568762326613,1000,2000,1000,0,0
real,motion,train,learned-warped-bv,4000,6.362484596669674,0.012019757590621793,0.01142495011398349,0.0148254563100636,1000,2000,1000,1000,0
real,motion,train,Condat-Vu/PDHG,3999,1.204273235052824,7.188746275232916e-05,4.257398113070346e-05,5.710809818992857e-05,1333,1333,1333,0,0
