data,blur,noise,method,oracle_K,wall_time_K,err_K_mean,err_K_std,err_K_median,prox,B,C,network,backtracks
real,train,train,plain-FBHF,4000,1.228009581565857,0.0009834350656774404,0.0010740930200475501,0.0005685410578735173,1000,2000,1000,0,0
real,train,train,line-search-FBHF,4526,1.7310123331844807,0.0009123878586194678,0.0010871986048610605,0.0005089208716526628,1263,2263,1000,0,263
real,train,train,fixed-precond,4000,1.2245202139019966,0.0003593106922608058,0.0004458914008537901,0.00024997576838359237,1000,2000,1000,0,0
real,train,train,learned-warped-bv,4000,6.505829647183418,0.000272305558496555,0.00042630620907006757,0.0001655077576288022,1000,2000,1000,1000,0
real,train,train,Condat-Vu/PDHG,3999,1.2114739455282688,0.000235612608264546,0.0004444610190065916,9.477038838667795e-05,1333,1333,1333,0,0
synthetic,train,train,plain-FBHF,4000,1.2251440659165382,0.007194363758571853,0.00808774805404407,0.00398504501208663,1000,2000,1000,0,0
synthetic,train,train,line-search-FBHF,4526,1.7330601587891579,0.007845450625609374,0.008770525033714989,0.004512612475082278,1263,2263,1000,0,263
synthetic,train,train,fixed-precond,4000,1.2400248683989048,0.001735586630729813,0.0008852317655174305,0.0014960112748667598,1000,2000,1000,0,0
synthetic,train,train,learned-warped-bv,4000,6.384120292961597,0.0012593735325481248,0.000764824414619531,0.00100247364025563,1000,2000,1000,1000,0
synthetic,train,train,Condat-Vu/PDHG,3999,1.2302917316555977,0.001098236335110414,0.0009446358670703233,0.0006969220412429422,1333,1333,1333,0,0
