method,instance,rel_error,merit
plain-FBHF,0,0.8007540106773376,0.14774323999881744
plain-FBHF,1,0.7915966510772705,0.12350447475910187
plain-FBHF,2,0.8010392785072327,0.13676750659942627
plain-FBHF,3,0.7893936634063721,0.214885875582695
plain-FBHF,4,0.7799047231674194,0.15310528874397278
plain-FBHF,5,0.7899757027626038,0.16517165303230286
plain-FBHF,6,0.798340916633606,0.12189798802137375
plain-FBHF,7,0.7866185903549194,0.14037097990512848
plain-FBHF,8,0.8065537810325623,0.13321702182292938
plain-FBHF,9,0.795569121837616,0.14529290795326233
plain-FBHF,10,0.7937552332878113,0.14734099805355072
plain-FBHF,11,0.7807478308677673,0.18256309628486633
plain-FBHF,12,0.7935073375701904,0.13359640538692474
plain-FBHF,13,0.796832799911499,0.14135941863059998
plain-FBHF,14,0.796874463558197,0.1702726036310196
plain-FBHF,15,0.8055885434150696,0.12698368728160858
plain-FBHF,16,0.7917302846908569,0.19743111729621887
plain-FBHF,17,0.7915823459625244,0.1729450523853302
plain-FBHF,18,0.8066384792327881,0.12981238961219788
plain-FBHF,19,0.7901390194892883,0.15707944333553314
plain-FBHF,20,0.7927443385124207,0.1524427831172943
plain-FBHF,21,0.786570131778717,0.1340271234512329
plain-FBHF,22,0.7798880934715271,0.15782059729099274
plain-FBHF,23,0.7958484888076782,0.16159473359584808
plain-FBHF,24,0.7891138792037964,0.15240296721458435
plain-FBHF,25,0.8078391551971436,0.18293556571006775
plain-FBHF,26,0.7887319326400757,0.14765949547290802
plain-FBHF,27,0.7832386493682861,0.1830359548330307
plain-FBHF,28,0.812995195388794,0.17468589544296265
plain-FBHF,29,0.7932472229003906,0.18978556990623474
plain-FBHF,30,0.791103184223175,0.15471772849559784
plain-FBHF,31,0.7801530361175537,0.1368655115365982
plain-FBHF,32,0.7909072637557983,0.13980549573898315
plain-FBHF,33,0.7916556596755981,0.16180555522441864
plain-FBHF,34,0.7784087657928467,0.17224140465259552
plain-FBHF,35,0.7684553861618042,0.15622478723526
plain-FBHF,36,0.8003315925598145,0.17187978327274323
plain-FBHF,37,0.8106783032417297,0.20280739665031433
plain-FBHF,38,0.7928193211555481,0.17216891050338745
plain-FBHF,39,0.779777467250824,0.17093175649642944
plain-FBHF,40,0.7715755701065063,0.16289862990379333
plain-FBHF,41,0.8135626316070557,0.13423442840576172
plain-FBHF,42,0.789189875125885,0.14417169988155365
plain-FBHF,43,0.7885993719100952,0.16262505948543549
plain-FBHF,44,0.788152277469635,0.17159104347229004
plain-FBHF,45,0.7962082624435425,0.16783542931079865
plain-FBHF,46,0.7925163507461548,0.13613548874855042
plain-FBHF,47,0.7918588519096375,0.14470502734184265
plain-FBHF,48,0.7946711182594299,0.13345369696617126
plain-FBHF,49,0.7918901443481445,0.16712360084056854
plain-FBHF,50,0.7884522676467896,0.19278904795646667
plain-FBHF,51,0.797302782535553,0.1502181887626648
plain-FBHF,52,0.7815166115760803,0.17431043088436127
plain-FBHF,53,0.7960438132286072,0.1921786665916443
plain-FBHF,54,0.7995720505714417,0.1778561770915985
plain-FBHF,55,0.8036518692970276,0.17746701836585999
plain-FBHF,56,0.7928215265274048,0.18150262534618378
plain-FBHF,57,0.7861946225166321,0.14042770862579346
plain-FBHF,58,0.7843096852302551,0.17411763966083527
plain-FBHF,59,0.7996510863304138,0.1419767290353775
plain-FBHF,60,0.7943094968795776,0.14988182485103607
plain-FBHF,61,0.7993844747543335,0.14225426316261292
plain-FBHF,62,0.7988195419311523,0.15227681398391724
plain-FBHF,63,0.793666660785675,0.17713619768619537
fixed-warped-FBHF,0,0.0018709285650402308,0.00014578686386812478
fixed-warped-FBHF,1,0.0018535911804065108,0.00010880698391702026
fixed-warped-FBHF,2,0.0019009254174306989,0.00013800828310195357
fixed-warped-FBHF,3,0.0019327984191477299,0.00018564335186965764
fixed-warped-FBHF,4,0.0018520383164286613,0.00011849449947476387
fixed-warped-FBHF,5,0.0019420429598540068,0.00014345832460094243
fixed-warped-FBHF,6,0.0019753905944526196,0.0001272973750019446
fixed-warped-FBHF,7,0.0018698329804465175,0.00012657055049203336
fixed-warped-FBHF,8,0.001826954772695899,0.00013061409117653966
fixed-warped-FBHF,9,0.0018402306595817208,0.00012639985652640462
fixed-warped-FBHF,10,0.0018529740627855062,0.00013177836081013083
fixed-warped-FBHF,11,0.0018115375423803926,0.0001430931151844561
fixed-warped-FBHF,12,0.001902638003230095,0.00012676193728111684
fixed-warped-FBHF,13,0.0019480421906337142,0.00012479272845666856
fixed-warped-FBHF,14,0.0017900582170113921,0.00014826026745140553
fixed-warped-FBHF,15,0.001997706014662981,0.0001267396000912413
fixed-warped-FBHF,16,0.0019258015090599656,0.00018956855637952685
fixed-warped-FBHF,17,0.001959610963240266,0.00015748174337204546
fixed-warped-FBHF,18,0.0019036578014492989,0.00013502908404916525
fixed-warped-FBHF,19,0.0018989980453625321,0.00014777448086533695
fixed-warped-FBHF,20,0.001928513403981924,0.00012675666948780417
fixed-warped-FBHF,21,0.001941112568601966,0.0001205631488119252
fixed-warped-FBHF,22,0.0018623805372044444,0.00013563032553065568
fixed-warped-FBHF,23,0.0018143996130675077,0.0001432111457688734
fixed-warped-FBHF,24,0.0019119245698675513,0.00012666944530792534
fixed-warped-FBHF,25,0.0020372949074953794,0.00018717857892625034
fixed-warped-FBHF,26,0.0017733005806803703,0.00011562745203264058
fixed-warped-FBHF,27,0.001883024233393371,0.00014115228259470314
fixed-warped-FBHF,28,0.0019410595996305346,0.00018682176596485078
fixed-warped-FBHF,29,0.0019409619271755219,0.00018744615954346955
fixed-warped-FBHF,30,0.0018424015725031495,0.0001318184076808393
fixed-warped-FBHF,31,0.0018224201630800962,0.0001149238451034762
fixed-warped-FBHF,32,0.0018167652888223529,0.00012325144780334085
fixed-warped-FBHF,33,0.0018491072114557028,0.0001498008205089718
fixed-warped-FBHF,34,0.0018234497401863337,0.00015464486205019057
fixed-warped-FBHF,35,0.0016898876056075096,0.00012124658678658307
fixed-warped-FBHF,36,0.00186935777310282,0.00015808784519322217
fixed-warped-FBHF,37,0.001692116493359208,0.00020427972776815295
fixed-warped-FBHF,38,0.0019345423206686974,0.00014989468036219478
fixed-warped-FBHF,39,0.0018553873524069786,0.00013470537669491023
fixed-warped-FBHF,40,0.001948658493347466,0.00011663193436106667
fixed-warped-FBHF,41,0.002067943336442113,0.00015056272968649864
fixed-warped-FBHF,42,0.0019376156851649284,0.00011885583808179945
fixed-warped-FBHF,43,0.0018369704484939575,0.00013291665527503937
fixed-warped-FBHF,44,0.0019051856361329556,0.00014875858323648572
fixed-warped-FBHF,45,0.001807212014682591,0.00016152019088622183
fixed-warped-FBHF,46,0.0018597445450723171,0.00011902272672159597
fixed-warped-FBHF,47,0.0019797077402472496,0.00013027597742620856
fixed-warped-FBHF,48,0.0019081864738836884,0.00013116745685692877
fixed-warped-FBHF,49,0.0018652831204235554,0.00014499026292469352
fixed-warped-FBHF,50,0.001899216091260314,0.00015786930453032255
fixed-warped-FBHF,51,0.0019253394566476345,0.00013787508942186832
fixed-warped-FBHF,52,0.0017923294799402356,0.00012651828001253307
fixed-warped-FBHF,53,0.001825941726565361,0.00015766195429023355
fixed-warped-FBHF,54,0.001834594877436757,0.00015193878789432347
fixed-warped-FBHF,55,0.0019028282258659601,0.0001660715788602829
fixed-warped-FBHF,56,0.001924393349327147,0.0001735713885864243
fixed-warped-FBHF,57,0.0018485019681975245,0.00011607533815549687
fixed-warped-FBHF,58,0.0017993687652051449,0.00014695241407025605
fixed-warped-FBHF,59,0.0017374089220538735,0.00011410891602281481
fixed-warped-FBHF,60,0.001940063084475696,0.00013709034828934819
fixed-warped-FBHF,61,0.0019069043919444084,0.00012976581638213247
fixed-warped-FBHF,62,0.0020133531652390957,0.00015380374679807574
fixed-warped-FBHF,63,0.001974318874999881,0.00015732500469312072
Tseng-FBF,0,0.8361843824386597,0.15631535649299622
Tseng-FBF,1,0.8272193670272827,0.15208201110363007
Tseng-FBF,2,0.8359325528144836,0.14481306076049805
Tseng-FBF,3,0.8252241015434265,0.2484676092863083
Tseng-FBF,4,0.8178534507751465,0.16292820870876312
Tseng-FBF,5,0.8257837891578674,0.17393702268600464
Tseng-FBF,6,0.8331162929534912,0.13261054456233978
Tseng-FBF,7,0.8234025835990906,0.16804519295692444
Tseng-FBF,8,0.841056764125824,0.14608485996723175
Tseng-FBF,9,0.8315299153327942,0.15961973369121552
Tseng-FBF,10,0.8294756412506104,0.15989528596401215
Tseng-FBF,11,0.8181682825088501,0.1930510401725769
Tseng-FBF,12,0.8294256925582886,0.14407189190387726
Tseng-FBF,13,0.8315228819847107,0.1540718376636505
Tseng-FBF,14,0.8327297568321228,0.17830009758472443
Tseng-FBF,15,0.839514970779419,0.13355429470539093
Tseng-FBF,16,0.8269810080528259,0.22418996691703796
Tseng-FBF,17,0.8270473480224609,0.18628369271755219
Tseng-FBF,18,0.8410837054252625,0.14723250269889832
Tseng-FBF,19,0.8264097571372986,0.18240056931972504
Tseng-FBF,20,0.8277459740638733,0.17286914587020874
Tseng-FBF,21,0.8224221467971802,0.15500527620315552
Tseng-FBF,22,0.8161892294883728,0.16334576904773712
Tseng-FBF,23,0.8314796090126038,0.17358922958374023
Tseng-FBF,24,0.8253875374794006,0.1662301868200302
Tseng-FBF,25,0.841159999370575,0.2008316069841385
Tseng-FBF,26,0.8248386383056641,0.15917086601257324
Tseng-FBF,27,0.8192011117935181,0.21270090341567993
Tseng-FBF,28,0.8464753031730652,0.18278712034225464
Tseng-FBF,29,0.8286170363426208,0.1977515071630478
Tseng-FBF,30,0.8270404934883118,0.1722922921180725
Tseng-FBF,31,0.8183647394180298,0.15017251670360565
Tseng-FBF,32,0.8268600702285767,0.16066749393939972
Tseng-FBF,33,0.8278775215148926,0.18491117656230927
Tseng-FBF,34,0.8177711963653564,0.1828254759311676
Tseng-FBF,35,0.8085587620735168,0.16899871826171875
Tseng-FBF,36,0.8351070284843445,0.18794424831867218
Tseng-FBF,37,0.843674898147583,0.20831041038036346
Tseng-FBF,38,0.8290254473686218,0.18941491842269897
Tseng-FBF,39,0.8168972730636597,0.18671108782291412
Tseng-FBF,40,0.8086444735527039,0.18402937054634094
Tseng-FBF,41,0.8461938500404358,0.15319378674030304
Tseng-FBF,42,0.824668824672699,0.1529434323310852
Tseng-FBF,43,0.8252922296524048,0.17603859305381775
Tseng-FBF,44,0.8231282830238342,0.18141068518161774
Tseng-FBF,45,0.8309072852134705,0.18577037751674652
Tseng-FBF,46,0.8287476897239685,0.15379561483860016
Tseng-FBF,47,0.8271328806877136,0.16834819316864014
Tseng-FBF,48,0.8309853076934814,0.1459842175245285
Tseng-FBF,49,0.8280285596847534,0.17926068603992462
Tseng-FBF,50,0.8240092992782593,0.20395468175411224
Tseng-FBF,51,0.8318381905555725,0.17203041911125183
Tseng-FBF,52,0.8185606598854065,0.1877380907535553
Tseng-FBF,53,0.8313745856285095,0.20491527020931244
Tseng-FBF,54,0.8337087035179138,0.18934860825538635
Tseng-FBF,55,0.8380036950111389,0.1997300535440445
Tseng-FBF,56,0.8294752836227417,0.1930939108133316
Tseng-FBF,57,0.823003888130188,0.16132862865924835
Tseng-FBF,58,0.8210570216178894,0.1907874196767807
Tseng-FBF,59,0.8347249031066895,0.15369373559951782
Tseng-FBF,60,0.8294164538383484,0.16557440161705017
Tseng-FBF,61,0.8348901867866516,0.1504429429769516
Tseng-FBF,62,0.8333545923233032,0.17394763231277466
Tseng-FBF,63,0.8290400505065918,0.18687021732330322
extragradient,0,0.8361852169036865,0.1564047634601593
extragradient,1,0.827220618724823,0.1521870493888855
extragradient,2,0.8359332084655762,0.1449204981327057
extragradient,3,0.8252255916595459,0.24863804876804352
extragradient,4,0.8178543448448181,0.16302239894866943
extragradient,5,0.8257850408554077,0.17405065894126892
extragradient,6,0.8331173062324524,0.13270169496536255
extragradient,7,0.8234039545059204,0.168147474527359
extragradient,8,0.8410574793815613,0.14619095623493195
extragradient,9,0.8315309882164001,0.15973049402236938
extragradient,10,0.8294763565063477,0.15998870134353638
extragradient,11,0.8181697726249695,0.1931784749031067
extragradient,12,0.829426646232605,0.14415904879570007
extragradient,13,0.8315240144729614,0.15416567027568817
extragradient,14,0.8327304720878601,0.1783980280160904
extragradient,15,0.8395159840583801,0.1336480975151062
extragradient,16,0.8269817233085632,0.22431620955467224
extragradient,17,0.8270487189292908,0.18643179535865784
extragradient,18,0.841084361076355,0.1473424881696701
extragradient,19,0.826410710811615,0.1825295090675354
extragradient,20,0.8277472853660583,0.17298313975334167
extragradient,21,0.8224233984947205,0.15510272979736328
extragradient,22,0.8161911368370056,0.16343560814857483
extragradient,23,0.8314803242683411,0.1736956536769867
extragradient,24,0.8253887295722961,0.1663632094860077
extragradient,25,0.8411608338356018,0.20098043978214264
extragradient,26,0.8248398900032043,0.15927346050739288
extragradient,27,0.8192026615142822,0.21283188462257385
extragradient,28,0.8464759588241577,0.18289336562156677
extragradient,29,0.8286175727844238,0.1979118138551712
extragradient,30,0.8270416259765625,0.17241720855236053
extragradient,31,0.8183658719062805,0.15026575326919556
extragradient,32,0.8268611431121826,0.16079166531562805
extragradient,33,0.8278785347938538,0.18501482903957367
extragradient,34,0.8177719712257385,0.1829555481672287
extragradient,35,0.8085598349571228,0.16911433637142181
extragradient,36,0.8351079821586609,0.18807528913021088
extragradient,37,0.8436756730079651,0.20841571688652039
extragradient,38,0.829026460647583,0.1895349621772766
extragradient,39,0.8168984651565552,0.18682149052619934
extragradient,40,0.8086462020874023,0.1841181367635727
extragradient,41,0.8461946845054626,0.15330547094345093
extragradient,42,0.8246700763702393,0.15302303433418274
extragradient,43,0.8252933621406555,0.17614412307739258
extragradient,44,0.8231293559074402,0.18152128159999847
extragradient,45,0.8309086561203003,0.1858772486448288
extragradient,46,0.8287489414215088,0.15389038622379303
extragradient,47,0.827134370803833,0.16846467554569244
extragradient,48,0.830985963344574,0.14607754349708557
extragradient,49,0.8280293345451355,0.17937228083610535
extragradient,50,0.8240107297897339,0.20405632257461548
extragradient,51,0.8318392038345337,0.17214559018611908
extragradient,52,0.8185620903968811,0.1878625750541687
extragradient,53,0.8313755393028259,0.20505808293819427
extragradient,54,0.833709716796875,0.18948772549629211
extragradient,55,0.8380045294761658,0.19984564185142517
extragradient,56,0.8294761180877686,0.19322867691516876
extragradient,57,0.8230052590370178,0.16143031418323517
extragradient,58,0.8210580348968506,0.19091486930847168
extragradient,59,0.8347258567810059,0.1538078784942627
extragradient,60,0.8294175267219543,0.16569477319717407
extragradient,61,0.8348910212516785,0.15053796768188477
extragradient,62,0.8333553671836853,0.17404253780841827
extragradient,63,0.829041063785553,0.1869957000017166
FRB,0,0.8925150632858276,0.18164829909801483
FRB,1,0.884965181350708,0.172810360789299
FRB,2,0.8924214839935303,0.15707647800445557
FRB,3,0.8834576606750488,0.288337379693985
FRB,4,0.8799222111701965,0.18156686425209045
FRB,5,0.8844404816627502,0.23371988534927368
FRB,6,0.8890129327774048,0.17991675436496735
FRB,7,0.8824381232261658,0.19898155331611633
FRB,8,0.8960138559341431,0.16606000065803528
FRB,9,0.8893980979919434,0.1767827570438385
FRB,10,0.8874136805534363,0.17571935057640076
FRB,11,0.8787375092506409,0.2257699966430664
FRB,12,0.8880062699317932,0.1698921173810959
FRB,13,0.8878416419029236,0.17814944684505463
FRB,14,0.8902618885040283,0.20693454146385193
FRB,15,0.8941202759742737,0.1626378446817398
FRB,16,0.884627640247345,0.2406740039587021
FRB,17,0.8854424357414246,0.20287051796913147
FRB,18,0.8962273001670837,0.16580630838871002
FRB,19,0.8859034776687622,0.19778972864151
FRB,20,0.8848142623901367,0.19523395597934723
FRB,21,0.8809935450553894,0.17696639895439148
FRB,22,0.8750141263008118,0.24703983962535858
FRB,23,0.8893864154815674,0.18776735663414001
