method,iter,dominant_B_calls,mean_rel_error
plain-FBHF,0,0,0.9996038675308228
plain-FBHF,50,100,0.7074747085571289
plain-FBHF,100,200,0.5052759647369385
plain-FBHF,200,400,0.2652581036090851
fixed-warped-FBHF,0,0,0.9996038675308228
fixed-warped-FBHF,50,100,0.006649744231253862
fixed-warped-FBHF,100,200,4.348744550952688e-05
fixed-warped-FBHF,200,400,7.826894943718798e-06
Tseng-FBF,0,0,0.9996038675308228
Tseng-FBF,50,100,0.7618200778961182
Tseng-FBF,100,200,0.581925094127655
Tseng-FBF,200,400,0.34832704067230225
extragradient,0,0,0.9996038675308228
extragradient,50,100,0.7618290185928345
extragradient,100,200,0.5819334983825684
extragradient,200,400,0.34833234548568726
FRB,0,1,0.9996038675308228
FRB,50,51,0.8438390493392944
FRB,100,101,0.7120823264122009
FRB,200,201,0.5109833478927612
learned-warped-FBHF,0,0,0.9996038675308228
learned-warped-FBHF,50,100,0.3890063166618347
learned-warped-FBHF,100,200,0.16083720326423645
learned-warped-FBHF,200,400,0.029299361631274223
