method,instance,rel_error,merit
plain-FBHF,0,0.24991990625858307,0.0557379387319088
plain-FBHF,1,0.25058770179748535,0.04921628162264824
plain-FBHF,2,0.2764456272125244,0.049274858087301254
plain-FBHF,3,0.2552379369735718,0.08037378638982773
plain-FBHF,4,0.27720263600349426,0.048745788633823395
plain-FBHF,5,0.2601265013217926,0.0629686638712883
plain-FBHF,6,0.2512880861759186,0.04996885731816292
plain-FBHF,7,0.25598737597465515,0.05629093945026398
plain-FBHF,8,0.25900015234947205,0.04698937013745308
plain-FBHF,9,0.269237220287323,0.051992353051900864
plain-FBHF,10,0.26939135789871216,0.05171317607164383
plain-FBHF,11,0.2543299198150635,0.07263211160898209
plain-FBHF,12,0.25084802508354187,0.059826306998729706
plain-FBHF,13,0.25216636061668396,0.05806572362780571
plain-FBHF,14,0.2709047794342041,0.055749211460351944
plain-FBHF,15,0.2519741952419281,0.051450081169605255
plain-FBHF,16,0.28512340784072876,0.07123632729053497
plain-FBHF,17,0.2559187710285187,0.0781613439321518
plain-FBHF,18,0.2775072753429413,0.04517138749361038
plain-FBHF,19,0.28674766421318054,0.05371107906103134
plain-FBHF,20,0.25638067722320557,0.055475082248449326
plain-FBHF,21,0.26215019822120667,0.05455739051103592
plain-FBHF,22,0.26300936937332153,0.072005994617939
plain-FBHF,23,0.2727522850036621,0.05532313883304596
plain-FBHF,24,0.2644774317741394,0.05475530028343201
plain-FBHF,25,0.27465444803237915,0.06809870898723602
plain-FBHF,26,0.26961416006088257,0.055267419666051865
plain-FBHF,27,0.27527207136154175,0.07046409696340561
plain-FBHF,28,0.26862892508506775,0.060114286839962006
plain-FBHF,29,0.2879721224308014,0.06325195729732513
plain-FBHF,30,0.2525796592235565,0.06226223707199097
plain-FBHF,31,0.2670246660709381,0.04906748607754707
plain-FBHF,32,0.2621100842952728,0.05605326220393181
plain-FBHF,33,0.26122358441352844,0.06469083577394485
plain-FBHF,34,0.27041828632354736,0.05928882583975792
plain-FBHF,35,0.2797028720378876,0.054890748113393784
plain-FBHF,36,0.26093360781669617,0.06509599834680557
plain-FBHF,37,0.27043232321739197,0.08269015699625015
plain-FBHF,38,0.27583110332489014,0.05509549751877785
plain-FBHF,39,0.2576121687889099,0.06163491681218147
plain-FBHF,40,0.24750767648220062,0.060410141944885254
plain-FBHF,41,0.26893123984336853,0.04929102212190628
plain-FBHF,42,0.26082924008369446,0.05258078873157501
plain-FBHF,43,0.2508307099342346,0.058192357420921326
plain-FBHF,44,0.2521391808986664,0.07322609424591064
plain-FBHF,45,0.26771023869514465,0.06756393611431122
plain-FBHF,46,0.24472454190254211,0.05376644805073738
plain-FBHF,47,0.24529513716697693,0.06419075280427933
plain-FBHF,48,0.2774884104728699,0.04539795219898224
plain-FBHF,49,0.27037709951400757,0.05788800120353699
plain-FBHF,50,0.2510480284690857,0.07858111709356308
plain-FBHF,51,0.27304917573928833,0.05460936948657036
plain-FBHF,52,0.27572667598724365,0.05883980542421341
plain-FBHF,53,0.2748747169971466,0.06329718232154846
plain-FBHF,54,0.27170929312705994,0.06500532478094101
plain-FBHF,55,0.25348997116088867,0.06841883808374405
plain-FBHF,56,0.2568134367465973,0.06658648699522018
plain-FBHF,57,0.2615855932235718,0.05239444971084595
plain-FBHF,58,0.2788738012313843,0.06298692524433136
plain-FBHF,59,0.27858710289001465,0.04530112072825432
plain-FBHF,60,0.2758982479572296,0.05231624096632004
plain-FBHF,61,0.2719774842262268,0.04543546214699745
plain-FBHF,62,0.279036283493042,0.059591569006443024
plain-FBHF,63,0.27529120445251465,0.06063319370150566
fixed-warped-FBHF,0,7.106116299837595e-06,9.220108267982141e-07
fixed-warped-FBHF,1,8.37094739836175e-06,4.5556504346677684e-07
fixed-warped-FBHF,2,8.42361077957321e-06,6.423934451049718e-07
fixed-warped-FBHF,3,8.09475841379026e-06,4.3376985559007153e-07
fixed-warped-FBHF,4,8.54079826240195e-06,7.929983780741168e-07
fixed-warped-FBHF,5,7.621036274940707e-06,3.6440039252738643e-07
fixed-warped-FBHF,6,6.277320153458277e-06,4.7342930997729127e-07
fixed-warped-FBHF,7,7.828353773220442e-06,2.5459209496148105e-07
fixed-warped-FBHF,8,7.58156829760992e-06,6.402108851943922e-07
fixed-warped-FBHF,9,7.763820576656144e-06,3.332710321046761e-07
fixed-warped-FBHF,10,7.794506018399261e-06,5.137776497576851e-07
fixed-warped-FBHF,11,7.315674338315148e-06,4.263288246875163e-07
fixed-warped-FBHF,12,6.891265456943074e-06,7.105762165338092e-07
fixed-warped-FBHF,13,7.565710347989807e-06,4.304789626985439e-07
fixed-warped-FBHF,14,8.044450623856392e-06,2.3431118734151823e-07
